국가,방한 외래관광객,전년동기 관광객,전년대비 증감률,구성비,순위
총계,1.8316412E7,1.5520597E7,18.0,0.0,0
중국,5233649.0,4331043.0,20.8,28.6,1
일본,3583533.0,3038352.0,17.9,19.6,2
대만,1779707.0,1365893.0,30.3,9.7,3
미국,1442062.0,1261637.0,14.3,7.9,4
홍콩,618475.0,535741.0,15.4,3.4,5
필리핀,597393.0,475776.0,25.6,3.3,6
베트남,539439.0,501005.0,7.7,2.9,7
싱가포르,393017.0,365020.0,7.7,2.1,8
인도네시아,365024.0,322698.0,13.1,2.0,9
태국,323399.0,332122.0,-2.6,1.8,10
말레이시아,314083.0,298761.0,5.1,1.7,11
캐나다,274698.0,246312.0,11.5,1.5,12
호주,262269.0,232174.0,13.0,1.4,13
러시아,219821.0,189084.0,16.3,1.2,14
인도,193807.0,176534.0,9.8,1.1,15
프랑스,176236.0,157212.0,12.1,1.0,16
독일,170658.0,151684.0,12.5,0.9,17
영국,165640.0,141980.0,16.7,0.9,18
몽골,163172.0,138127.0,18.1,0.9,19
멕시코,87024.0,40074.0,117.2,0.5,20
미얀마,84260.0,72071.0,16.9,0.5,21
이탈리아,75547.0,59395.0,27.2,0.4,22
우즈베키스탄,66042.0,59296.0,11.4,0.4,23
카자흐스탄,62899.0,54026.0,16.4,0.3,24
네덜란드,62206.0,52588.0,18.3,0.3,25
튀르키예,56400.0,44017.0,28.1,0.3,26
스페인,55996.0,43913.0,27.5,0.3,27
폴란드,51499.0,41036.0,25.5,0.3,28
캄보디아,50409.0,47507.0,6.1,0.3,29
네팔,49076.0,38295.0,28.2,0.3,30
뉴질랜드,45635.0,40812.0,11.8,0.2,31
마카오,44350.0,43002.0,3.1,0.2,32
브라질,39991.0,30041.0,33.1,0.2,33
스리랑카,28617.0,27373.0,4.5,0.2,34
교포,28472.0,36817.0,-22.7,0.2,35
스위스,28117.0,24125.0,16.5,0.2,36
라오스,25956.0,18241.0,42.3,0.1,37
방글라데시,24285.0,24153.0,0.5,0.1,38
우크라이나,23332.0,21527.0,8.4,0.1,39
스웨덴,22455.0,19846.0,13.1,0.1,40
이스라엘,21920.0,11697.0,87.4,0.1,41
벨기에,21055.0,18823.0,11.9,0.1,42
사우디아라비아,20229.0,22208.0,-8.9,0.1,43
남아프리카공화국,18686.0,15993.0,16.8,0.1,44
루마니아,18045.0,15656.0,15.3,0.1,45
덴마크,16784.0,15151.0,10.8,0.1,46
오스트리아,16596.0,15112.0,9.8,0.1,47
포르투갈,16577.0,12692.0,30.6,0.1,48
