Date,CNH,EUR,JPY,USD
2004-05-01,,1411.96,1048.63,1177.01
2004-06-01,,1407.24,1058.89,1158.54
2004-07-01,,1420.18,1059.09,1158.12
2004-08-01,,1413.11,1050.84,1158.96
2004-09-01,,1400.64,1044.36,1147.8
2004-10-01,,1429.45,1050.03,1143.52
2004-11-01,,1416.24,1040.87,1090.1
2004-12-01,,1408.4,1012.97,1051.44
2005-01-01,,1362.67,1005.82,1038.32
2005-02-01,,1333.57,974.63,1022.69
2005-03-01,,1329.22,957.36,1007.28
2005-04-01,,1308.69,943.43,1011.0
2005-05-01,,1270.98,938.68,1002.13
2005-06-01,,1229.23,930.13,1010.68
2005-07-01,,1248.51,926.34,1036.79
2005-08-01,,1254.58,922.02,1020.96
2005-09-01,,1262.73,927.32,1029.23
2005-10-01,,1258.05,911.04,1045.89
2005-11-01,,1228.43,879.68,1041.51
2005-12-01,,1213.79,864.29,1027.15
2006-01-01,,1195.32,855.18,987.07
2006-02-01,,1159.36,822.43,970.18
2006-03-01,,1172.83,831.26,975.09
2006-04-01,,1169.88,814.84,954.44
2006-05-01,,1201.65,843.01,941.4
2006-06-01,,1208.68,833.02,955.16
2006-07-01,,1206.22,821.39,950.15
2006-08-01,,1230.6,829.71,960.72
2006-09-01,,1214.86,814.28,953.68
2006-10-01,,1202.44,803.15,954.23
2006-11-01,,1205.32,798.03,936.22
2006-12-01,,1222.79,790.23,925.75
2007-01-01,,1216.97,777.94,936.36
2007-02-01,,1225.14,776.82,937.02
2007-03-01,,1249.37,804.82,943.26
2007-04-01,,1257.65,783.65,931.5
2007-05-01,,1254.11,768.53,927.91
2007-06-01,,1244.93,757.05,928.32
2007-07-01,,1260.03,755.57,918.85
2007-08-01,,1272.4,799.84,933.8
2007-09-01,,1291.19,810.55,932.41
2007-10-01,,1303.27,790.74,915.86
2007-11-01,,1345.6,826.2,916.98
2007-12-01,,1355.24,828.42,930.24
2008-01-01,,1386.21,872.92,942.39
2008-02-01,,1395.43,880.57,944.69
2008-03-01,,1519.51,972.3,979.86
2008-04-01,,1555.05,962.35,986.66
2008-05-01,,1614.55,994.18,1036.73
2008-06-01,,1601.73,963.02,1029.27
2008-07-01,,1606.74,954.22,1019.12
2008-08-01,,1561.56,953.03,1041.54
2008-09-01,,1627.55,1060.6,1130.4
2008-10-01,,1765.31,1327.1,1326.92
2008-11-01,,1768.9,1435.06,1390.09
2008-12-01,,1846.09,1503.28,1373.84
2009-01-01,,1793.82,1487.18,1346.1
2009-02-01,,1829.88,1546.11,1429.46
2009-03-01,,1904.04,1495.71,1461.98
2009-04-01,,1771.59,1356.24,1341.9
2009-05-01,,1719.12,1304.52,1258.71
2009-06-01,,1767.77,1305.52,1261.35
2009-07-01,,1778.8,1338.06,1263.97
2009-08-01,,1766.26,1304.31,1238.4
2009-09-01,,1774.17,1332.42,1219.15
2009-10-01,,1742.87,1300.78,1175.25
2009-11-01,,1736.61,1304.43,1164.23
2009-12-01,,1703.73,1300.81,1166.45
2010-01-01,,1627.52,1248.26,1138.82
2010-02-01,,1584.53,1281.72,1157.08
2010-03-01,,1544.89,1255.84,1137.64
2010-04-01,,1501.68,1195.31,1117.11
2010-05-01,,1460.68,1265.23,1163.11
2010-06-01,,1480.85,1333.59,1212.33
2010-07-01,,1540.31,1377.67,1207.3
2010-08-01,,1523.33,1380.19,1179.92
2010-09-01,,1518.69,1384.17,1167.01
2010-10-01,,1559.56,1371.09,1123.45
2010-11-01,,1541.34,1366.58,1126.2
2010-12-01,,1515.36,1376.72,1147.55
2011-01-01,,1495.37,1356.27,1120.07
2011-02-01,,1524.62,1350.97,1118.14
2011-03-01,,1572.59,1376.2,1122.45
2011-04-01,,1569.39,1304.81,1086.84
2011-05-01,,1551.34,1333.6,1083.54
2011-06-01,,1555.38,1342.81,1081.27
2011-07-01,,1515.37,1333.36,1059.5
2011-08-01,,1538.73,1391.35,1073.17
2011-09-01,,1542.38,1456.48,1118.61
2011-10-01,,1583.95,1508.22,1155.45
2011-11-01,,1536.59,1459.96,1132.31
2011-12-01,,1511.0,1473.43,1147.45
2012-01-01,,1477.23,1488.74,1145.85
2012-02-01,,1485.99,1433.65,1123.35
2012-03-01,,1487.13,1364.08,1125.9
2012-04-01,,1495.55,1393.87,1135.55
2012-05-01,,1478.58,1447.08,1154.27
2012-06-01,,1462.27,1469.08,1165.51
2012-07-01,,1406.96,1446.38,1143.36
2012-08-01,,1402.81,1438.35,1131.69
2012-09-01,,1445.97,1438.63,1124.78
2012-10-01,,1435.95,1400.86,1106.93
2012-11-01,,1395.9,1344.04,1087.52
2012-12-01,,1411.39,1288.05,1076.97
2013-01-01,,1415.66,1196.82,1065.35
2013-02-01,,1452.33,1166.43,1086.68
2013-03-01,,1427.45,1161.1,1102.2
2013-04-01,,1459.59,1148.4,1121.83
2013-05-01,,1441.54,1100.33,1110.67
2013-06-01,,1498.69,1165.7,1135.21
2013-07-01,,1475.13,1130.68,1127.23
2013-08-01,,1488.42,1142.11,1116.98
2013-09-01,,1449.0,1095.09,1087.35
2013-10-01,,1455.23,1089.59,1066.8
2013-11-01,,1434.24,1063.67,1062.82
2013-12-01,,1447.17,1021.51,1056.67
2014-01-01,,1451.18,1022.75,1064.75
2014-02-01,,1462.63,1048.64,1071.3
2014-03-01,173.87,1480.5,1047.1,1070.89
2014-04-01,167.84,1442.03,1018.6,1044.55
2014-05-01,164.3,1406.72,1006.99,1024.99
2014-06-01,163.64,1385.45,998.99,1019.36
2014-07-01,164.49,1381.96,1003.01,1019.93
2014-08-01,166.52,1365.89,996.02,1025.36
2014-09-01,168.02,1334.3,962.48,1033.24
2014-10-01,172.74,1344.64,982.7,1060.28
2014-11-01,178.6,1366.24,942.9,1095.1
2014-12-01,178.33,1361.42,925.1,1104.33
2015-01-01,174.9,1267.5,919.93,1088.86
2015-02-01,175.45,1246.77,926.37,1098.4
2015-03-01,177.99,1206.7,924.4,1112.57
2015-04-01,175.49,1175.28,910.67,1088.66
2015-05-01,175.83,1219.27,904.5,1091.27
2015-06-01,179.19,1247.15,898.97,1112.2
2015-07-01,183.93,1257.72,927.48,1143.22
2015-08-01,184.99,1312.92,958.3,1179.1
2015-09-01,184.49,1331.28,985.71,1184.76
2015-10-01,180.43,1288.92,955.92,1148.18
2015-11-01,180.08,1238.07,940.34,1151.97
2015-12-01,179.97,1275.34,962.5,1172.24
2016-01-01,181.55,1306.27,1017.44,1201.67
2016-02-01,185.71,1348.77,1060.15,1217.35
2016-03-01,182.56,1322.22,1051.68,1188.21
2016-04-01,176.93,1300.69,1044.3,1147.51
2016-05-01,179.13,1323.56,1074.8,1171.51
2016-06-01,177.26,1315.43,1107.53,1170.5
2016-07-01,171.09,1265.39,1099.08,1144.09
2016-08-01,167.04,1245.95,1097.61,1111.68
2016-09-01,165.72,1241.09,1087.49,1107.49
2016-10-01,167.04,1240.57,1084.08,1125.28
2016-11-01,169.49,1254.4,1074.17,1161.64
2016-12-01,170.71,1245.51,1019.36,1182.28
2017-01-01,172.43,1257.71,1029.58,1185.1
