Date,Asia Total,Japan,China,Taiwan,Philippines,Hong Kong,Thailand,Malaysia,Singapore,Indonesia,India,Vietnam,Myanmar,Mongolia,Sri Lanka,Pakistan,Bangladesh,Asia Other,Middle East Total,Uzbekistan,Turkiye,Israel,Iran,Kazakhstan,Jordan,Saudi Arabia,Iraq,Middle East Other,Americas Total,United States,Canada,Brazil,Mexico,Chile,Argentina,Colombia,Peru,Venezuela,Ecuador,Cuba,Americas Other,Europe Total,Russia,Germany,UK,France,Netherlands,Ukraine,Italy,Bulgaria,Sweden,Poland,Denmark,Greece,Switzerland,Norway,Spain,Romania,Belgium,Europe Other,Oceania Total,Australia,New Zealand,Kiribati,Fiji,Oceania Other,Africa Total,South Africa,Nigeria,Egypt,Africa Other,Other Countries,Overseas Koreans,Unknown,Total
2014-09-01,1014264,196306,564078,52942,32082,40614,33552,20846,15228,12230,14305,11663,4525,5001,1700,1089,1054,7049,17597,4776,2133,906,1219,2319,500,1283,323,4138,89255,69655,13765,1490,1164,471,395,447,310,188,152,17,1201,75356,17418,9682,12428,6604,2588,2036,4452,798,1543,1695,963,678,1320,1969,1612,1239,940,7391,19635,16121,3038,63,256,157,3977,1076,237,744,1920,25693,25652,41,1245777
2014-10-01,1070247,190335,562278,58542,40015,52371,52149,28279,20084,18915,12964,14339,4143,4937,1237,847,814,7998,16055,4470,2154,1717,954,2235,361,919,360,2885,99796,77836,15203,1852,1342,393,431,519,355,164,209,21,1471,82352,18218,10790,13012,8075,2955,2140,4668,732,1990,1485,1424,753,1656,1944,1910,1295,1133,8172,17015,13925,2565,72,317,136,4815,1036,336,637,2806,27202,27134,68,1317482
2014-11-01,919491,179533,460671,49286,34048,47062,42985,26603,20883,15818,10066,11143,5068,5065,1105,857,1168,8130,12188,4237,1784,948,432,1745,270,497,213,2062,75767,58709,12754,1185,1007,303,314,361,252,122,100,10,650,68881,16279,8607,10407,6469,2800,2129,4119,644,1449,1285,973,679,1050,1746,1828,1056,863,6498,14684,12071,2137,87,212,177,3402,562,285,657,1898,22985,22922,63,1117398
2014-12-01,909465,170487,420501,49571,32430,54153,47046,36473,34782,22678,8170,9657,5056,5601,1185,745,637,10293,11006,3276,1508,930,321,2323,210,448,150,1840,69057,55001,10733,1227,752,144,188,184,194,101,50,5,478,53773,15103,5705,7767,5234,1850,1803,2721,429,1136,942,600,629,696,1204,1048,939,552,5415,16995,13238,3368,48,253,88,2460,513,226,549,1172,23813,23742,71,1086569
2015-01-01,752382,139632,394345,49798,24716,35407,40880,12396,8934,12120,7228,7895,4486,6199,1250,697,690,5709,10769,3601,1392,788,235,2263,167,567,167,1589,63903,50896,9898,1079,749,243,189,173,99,104,54,5,414,55182,13957,6316,9715,5282,2026,1964,2090,445,1020,908,803,598,711,1729,1144,721,561,5192,13237,9997,2618,80,422,120,2427,913,146,358,1010,19154,19115,39,917054
2015-02-01,894641,142587,516787,53719,23740,50992,34861,14213,8166,12092,7983,9809,4549,5320,1200,862,887,6874,11279,4074,1439,804,297,2278,183,569,167,1468,62830,48728,10537,1159,815,175,149,261,163,116,100,6,621,51876,11734,6046,8051,5978,1956,1655,3003,457,1025,943,723,593,732,1259,1167,813,611,5130,8917,7010,1632,69,139,67,2876,855,196,443,1382,18287,18244,43,1050706
2015-03-01,1022000,218932,515130,52304,33763,51876,46868,21493,15541,15667,10206,18309,4850,5571,1532,1099,942,7917,15786,4774,2109,1253,578,2994,269,1079,263,2467,85991,66755,14085,1353,1033,284,348,409,273,256,128,10,1057,71850,15915,10123,12866,6898,2378,1969,3773,503,1467,1108,1067,887,1077,2029,1669,1013,835,6273,13457,11005,2061,91,204,96,3391,702,309,637,1743,25669,25611,58,1238144
2015-04-01,1138079,154402,641610,60752,45128,67465,43851,28330,18331,21092,11977,18937,5847,5980,1886,1006,1107,10378,15448,4947,2242,1456,419,2585,286,674,159,2680,102942,80120,16447,1732,1520,415,467,467,324,161,199,3,1087,80126,17831,9371,14556,8816,2877,2238,3852,687,1739,1334,1238,868,1516,1838,1784,1142,1469,6970,18573,15526,2525,163,209,150,4100,893,207,658,2342,25299,25246,53,1384567
2015-05-01,1107007,188420,618083,59061,41141,54095,35020,19463,16747,20136,14160,14485,5497,7456,1939,930,1055,9319,15367,5230,2269,1299,490,2555,304,769,248,2203,91234,70891,14541,1377,1225,367,372,473,553,178,136,25,1096,73393,18663,8770,10512,8171,2518,2146,4029,650,1493,1167,1082,864,1104,1433,1768,1311,1065,6647,17544,14409,2525,110,285,215,4070,885,281,714,2190,25597,25552,45,1334212
2015-06-01,570439,101206,315095,14816,31427,13949,16749,10283,7926,14881,11903,10840,4395,7830,1502,884,791,5962,11442,4407,1642,706,400,2043,167,544,147,1386,76773,62550,8909,1029,1209,400,323,430,445,273,104,27,1074,59670,14368,6922,7632,5744,1920,1925,3985,560,1422,1255,866,840,925,1615,1540,1234,707,6210,11191,8504,2144,157,269,117,3364,729,313,520,1802,18046,17997,49,750925
2015-07-01,446220,81748,255632,9879,23529,7761,12130,5893,4439,10418,8551,9172,4204,5746,1448,601,827,4242,13610,4988,1783,928,413,2006,201,1156,154,1981,76878,62627,9496,1296,1466,205,222,317,248,120,94,49,738,59188,13524,7008,7921,6467,2417,2017,3500,443,1148,1183,952,692,1290,1556,1706,793,854,5717,11733,9017,2189,161,213,153,3171,657,252,462,1800,18937,18899,38,629737
2015-08-01,862931,148632,513275,25622,32801,33752,13634,9709,6972,14555,31461,12453,4629,6325,1418,1238,1021,5434,16831,5483,2262,1043,645,3023,260,1442,180,2493,80985,63522,11881,1294,1507,295,261,381,373,142,158,16,1155,70837,15936,8787,10223,8678,2483,2220,4324,696,1262,1129,982,769,1166,1559,2069,1210,898,6446,11366,8458,2297,91,359,161,4525,1221,379,637,2288,21839,21811,28,1069314
2015-09-01,993841,157313,591242,46353,36605,52400,15907,17570,11867,15393,14150,14052,4917,6357,1532,959,1035,6189,15384,5299,2265,1031,621,2106,303,1019,186,2554,81626,63793,11870,1553,1046,392,375,505,448,263,162,35,1184,71369,15904,9525,10163,6889,2359,2240,4535,620,1554,1583,983,963,1244,1529,1985,1462,966,6865,15555,12273,2726,97,360,99,4539,915,317,843,2464,24450,24404,46,1206764
2015-10-01,1130458,180348,650174,48929,43018,53648,36102,23767,15672,20166,15476,18740,5405,7497,1572,1275,1221,7448,16625,5475,2215,1585,775,2662,358,734,281,2540,99288,77878,14505,1644,1542,358,578,519,436,155,240,17,1416,86805,17638,12248,13345,8620,2988,2681,5445,774,1996,1358,1440,1097,1740,1938,2286,1431,1122,8658,17267,14002,2538,113,313,301,5288,1169,420,902,2797,27973,27940,33,1383704
