Date,Total Outbound,South Africa,Mauritius,Eswatini,Seychelles,Zimbabwe,Uganda,Sierra Leone,United States,Canada,Brazil,Dominican Republic,Jamaica,Guatemala,Chile,Costa Rica,Panama,Peru,Mexico,Ecuador,Japan,China,Vietnam,Thailand,Philippines,Hong Kong,Taiwan,Macau,Singapore,Malaysia,Indonesia,Cambodia,Laos,Turkiye,India,Mongolia,Myanmar,Israel,Maldives,Sri Lanka,Cyprus,Bhutan,Jordan,Nepal,Yemen,Spain,Germany,Austria,UK,Slovenia,Russia,Bosnia and Herzegovina,Finland,Slovakia,North Macedonia,Serbia,Sweden,Liechtenstein,Georgia,San Marino,Australia,Northern Mariana Islands,New Zealand,Palau,Fiji
2004-01-01,793478.0,1582.0,0.0,0.0,4.0,0.0,0.0,0.0,63341.0,11243.0,2335.0,35.0,32.0,0.0,0.0,0.0,0.0,4641.0,0.0,0.0,164785.0,186246.0,0.0,102299.0,37526.0,37006.0,12193.0,5677.0,30255.0,5892.0,0.0,0.0,0.0,0.0,47835.0,26602.0,0.0,2562.0,0.0,0.0,0.0,0.0,0.0,1972.0,0.0,0.0,7414.0,1518.0,0.0,0.0,0.0,0.0,397.0,0.0,0.0,0.0,579.0,5.0,0.0,0.0,25870.0,7825.0,18575.0,76.0,0.0
2004-02-01,670447.0,1214.0,0.0,0.0,0.0,0.0,0.0,0.0,47191.0,7927.0,2515.0,53.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142718.0,215373.0,0.0,59455.0,32196.0,37513.0,13916.0,3770.0,29835.0,6901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2234.0,0.0,0.0,0.0,0.0,0.0,1665.0,0.0,0.0,7506.0,1511.0,0.0,0.0,0.0,0.0,448.0,0.0,0.0,0.0,1438.0,8.0,0.0,0.0,19350.0,6434.0,10941.0,68.0,0.0
2004-03-01,587629.0,883.0,0.0,0.0,0.0,0.0,0.0,0.0,43664.0,9243.0,1804.0,51.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112516.0,190382.0,0.0,47499.0,25858.0,37622.0,12077.0,3098.0,25853.0,3394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1710.0,0.0,0.0,0.0,0.0,0.0,698.0,0.0,0.0,8974.0,1783.0,0.0,0.0,0.0,0.0,613.0,0.0,0.0,0.0,885.0,21.0,0.0,0.0,15190.0,4228.0,8274.0,56.0,0.0
2004-04-01,642413.0,791.0,0.0,0.0,0.0,0.0,0.0,0.0,40831.0,11723.0,1379.0,157.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120427.0,223062.0,0.0,58876.0,26749.0,44722.0,12802.0,4163.0,26713.0,3278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1464.0,0.0,0.0,0.0,0.0,0.0,432.0,0.0,0.0,8172.0,3006.0,0.0,0.0,0.0,0.0,484.0,0.0,0.0,0.0,818.0,4.0,0.0,0.0,14130.0,4827.0,7077.0,71.0,0.0
2004-05-01,680185.0,784.0,0.0,0.0,2.0,0.0,0.0,0.0,52600.0,14088.0,1668.0,44.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115659.0,202592.0,0.0,71516.0,29353.0,38076.0,11188.0,3729.0,31482.0,6121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1175.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,11376.0,4875.0,0.0,0.0,0.0,0.0,2061.0,0.0,0.0,0.0,1849.0,17.0,0.0,0.0,16130.0,4294.0,6696.0,966.0,0.0
2004-06-01,712260.0,908.0,0.0,0.0,0.0,0.0,0.0,0.0,62410.0,20079.0,1754.0,43.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116269.0,227553.0,0.0,70418.0,27389.0,41469.0,12724.0,4082.0,29912.0,7470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1297.0,0.0,0.0,0.0,0.0,0.0,271.0,0.0,0.0,11753.0,5243.0,0.0,0.0,0.0,0.0,3230.0,0.0,0.0,0.0,2348.0,12.0,0.0,0.0,14180.0,5967.0,6384.0,1208.0,0.0
2004-07-01,897234.0,1490.0,0.0,0.0,1.0,0.0,0.0,0.0,70805.0,27171.0,1553.0,52.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160770.0,284034.0,0.0,74736.0,31148.0,49663.0,11197.0,5738.0,35568.0,6631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1269.0,0.0,0.0,0.0,0.0,0.0,805.0,0.0,0.0,20420.0,10920.0,0.0,0.0,0.0,0.0,2782.0,0.0,0.0,0.0,1567.0,18.0,0.0,0.0,20170.0,7208.0,10220.0,172.0,0.0
2004-08-01,930573.0,1716.0,0.0,0.0,0.0,0.0,0.0,0.0,66825.0,24351.0,1806.0,119.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170182.0,334568.0,0.0,89965.0,35341.0,52703.0,11628.0,7230.0,38602.0,9456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2952.0,0.0,0.0,0.0,0.0,0.0,1121.0,0.0,0.0,15216.0,6574.0,0.0,0.0,0.0,0.0,2826.0,0.0,0.0,0.0,2147.0,2.0,0.0,0.0,15040.0,8530.0,7150.0,38.0,0.0
2004-09-01,682244.0,987.0,0.0,0.0,0.0,0.0,0.0,0.0,48594.0,24295.0,2053.0,40.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113083.0,239549.0,0.0,65546.0,26187.0,44670.0,11686.0,6322.0,25956.0,11996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846.0,0.0,0.0,0.0,0.0,0.0,595.0,0.0,0.0,11655.0,4172.0,0.0,0.0,0.0,0.0,1113.0,0.0,0.0,0.0,1605.0,4.0,0.0,0.0,14190.0,4508.0,6860.0,18.0,0.0
2004-10-01,757538.0,938.0,0.0,0.0,0.0,0.0,0.0,0.0,40976.0,20684.0,1820.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122877.0,272800.0,0.0,77567.0,29445.0,48786.0,11811.0,6688.0,26936.0,10403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1427.0,0.0,0.0,0.0,0.0,0.0,785.0,0.0,0.0,10783.0,3188.0,0.0,0.0,0.0,0.0,717.0,0.0,0.0,0.0,825.0,2.0,0.0,0.0,18130.0,3156.0,9156.0,806.0,0.0
