0,1,2
날짜,통화명,월평균 매매기준율
2004/05,유로 (EUR),1411.96
2004/06,유로 (EUR),1407.24
2004/07,유로 (EUR),1420.18
2004/08,유로 (EUR),1413.11
2004/09,유로 (EUR),1400.64
2004/10,유로 (EUR),1429.45
2004/11,유로 (EUR),1416.24
2004/12,유로 (EUR),1408.40
2005/01,유로 (EUR),1362.67
2005/02,유로 (EUR),1333.57
2005/03,유로 (EUR),1329.22
2005/04,유로 (EUR),1308.69
2005/05,유로 (EUR),1270.98
2005/06,유로 (EUR),1229.23
2005/07,유로 (EUR),1248.51
2005/08,유로 (EUR),1254.58
2005/09,유로 (EUR),1262.73
2005/10,유로 (EUR),1258.05
2005/11,유로 (EUR),1228.43
2005/12,유로 (EUR),1213.79
2006/01,유로 (EUR),1195.32
2006/02,유로 (EUR),1159.36
2006/03,유로 (EUR),1172.83
2006/04,유로 (EUR),1169.88
2006/05,유로 (EUR),1201.65
2006/06,유로 (EUR),1208.68
2006/07,유로 (EUR),1206.22
2006/08,유로 (EUR),1230.60
2006/09,유로 (EUR),1214.86
2006/10,유로 (EUR),1202.44
2006/11,유로 (EUR),1205.32
2006/12,유로 (EUR),1222.79
2007/01,유로 (EUR),1216.97
2007/02,유로 (EUR),1225.14
2007/03,유로 (EUR),1249.37
2007/04,유로 (EUR),1257.65
2007/05,유로 (EUR),1254.11
2007/06,유로 (EUR),1244.93
2007/07,유로 (EUR),1260.03
2007/08,유로 (EUR),1272.40
2007/09,유로 (EUR),1291.19
2007/10,유로 (EUR),1303.27
2007/11,유로 (EUR),1345.60
2007/12,유로 (EUR),1355.24
2008/01,유로 (EUR),1386.21
2008/02,유로 (EUR),1395.43
2008/03,유로 (EUR),1519.51
2008/04,유로 (EUR),1555.05
2008/05,유로 (EUR),1614.55
2008/06,유로 (EUR),1601.73
2008/07,유로 (EUR),1606.74
2008/08,유로 (EUR),1561.56
2008/09,유로 (EUR),1627.55
2008/10,유로 (EUR),1765.31
2008/11,유로 (EUR),1768.90
2008/12,유로 (EUR),1846.09
2009/01,유로 (EUR),1793.82
2009/02,유로 (EUR),1829.88
2009/03,유로 (EUR),1904.04
2009/04,유로 (EUR),1771.59
2009/05,유로 (EUR),1719.12
2009/06,유로 (EUR),1767.77
2009/07,유로 (EUR),1778.80
2009/08,유로 (EUR),1766.26
2009/09,유로 (EUR),1774.17
2009/10,유로 (EUR),1742.87
2009/11,유로 (EUR),1736.61
2009/12,유로 (EUR),1703.73
2010/01,유로 (EUR),1627.52
2010/02,유로 (EUR),1584.53
2010/03,유로 (EUR),1544.89
2010/04,유로 (EUR),1501.68
2010/05,유로 (EUR),1460.68
