0,1,2
날짜,통화명,월평균 매매기준율
2004/05,일본 엔 (JPY) (100),1048.63
2004/06,일본 엔 (JPY) (100),1058.89
2004/07,일본 엔 (JPY) (100),1059.09
2004/08,일본 엔 (JPY) (100),1050.84
2004/09,일본 엔 (JPY) (100),1044.36
2004/10,일본 엔 (JPY) (100),1050.03
2004/11,일본 엔 (JPY) (100),1040.87
2004/12,일본 엔 (JPY) (100),1012.97
2005/01,일본 엔 (JPY) (100),1005.82
2005/02,일본 엔 (JPY) (100),974.63
2005/03,일본 엔 (JPY) (100),957.36
2005/04,일본 엔 (JPY) (100),943.43
2005/05,일본 엔 (JPY) (100),938.68
2005/06,일본 엔 (JPY) (100),930.13
2005/07,일본 엔 (JPY) (100),926.34
2005/08,일본 엔 (JPY) (100),922.02
2005/09,일본 엔 (JPY) (100),927.32
2005/10,일본 엔 (JPY) (100),911.04
2005/11,일본 엔 (JPY) (100),879.68
2005/12,일본 엔 (JPY) (100),864.29
2006/01,일본 엔 (JPY) (100),855.18
2006/02,일본 엔 (JPY) (100),822.43
2006/03,일본 엔 (JPY) (100),831.26
2006/04,일본 엔 (JPY) (100),814.84
2006/05,일본 엔 (JPY) (100),843.01
2006/06,일본 엔 (JPY) (100),833.02
2006/07,일본 엔 (JPY) (100),821.39
2006/08,일본 엔 (JPY) (100),829.71
2006/09,일본 엔 (JPY) (100),814.28
2006/10,일본 엔 (JPY) (100),803.15
2006/11,일본 엔 (JPY) (100),798.03
2006/12,일본 엔 (JPY) (100),790.23
2007/01,일본 엔 (JPY) (100),777.94
2007/02,일본 엔 (JPY) (100),776.82
2007/03,일본 엔 (JPY) (100),804.82
2007/04,일본 엔 (JPY) (100),783.65
2007/05,일본 엔 (JPY) (100),768.53
2007/06,일본 엔 (JPY) (100),757.05
2007/07,일본 엔 (JPY) (100),755.57
2007/08,일본 엔 (JPY) (100),799.84
2007/09,일본 엔 (JPY) (100),810.55
2007/10,일본 엔 (JPY) (100),790.74
2007/11,일본 엔 (JPY) (100),826.20
2007/12,일본 엔 (JPY) (100),828.42
2008/01,일본 엔 (JPY) (100),872.92
2008/02,일본 엔 (JPY) (100),880.57
2008/03,일본 엔 (JPY) (100),972.30
2008/04,일본 엔 (JPY) (100),962.35
2008/05,일본 엔 (JPY) (100),994.18
2008/06,일본 엔 (JPY) (100),963.02
2008/07,일본 엔 (JPY) (100),954.22
2008/08,일본 엔 (JPY) (100),953.03
2008/09,일본 엔 (JPY) (100),1060.60
2008/10,일본 엔 (JPY) (100),1327.10
2008/11,일본 엔 (JPY) (100),1435.06
2008/12,일본 엔 (JPY) (100),1503.28
2009/01,일본 엔 (JPY) (100),1487.18
2009/02,일본 엔 (JPY) (100),1546.11
2009/03,일본 엔 (JPY) (100),1495.71
2009/04,일본 엔 (JPY) (100),1356.24
2009/05,일본 엔 (JPY) (100),1304.52
2009/06,일본 엔 (JPY) (100),1305.52
2009/07,일본 엔 (JPY) (100),1338.06
2009/08,일본 엔 (JPY) (100),1304.31
2009/09,일본 엔 (JPY) (100),1332.42
2009/10,일본 엔 (JPY) (100),1300.78
2009/11,일본 엔 (JPY) (100),1304.43
2009/12,일본 엔 (JPY) (100),1300.81
2010/01,일본 엔 (JPY) (100),1248.26
2010/02,일본 엔 (JPY) (100),1281.72
2010/03,일본 엔 (JPY) (100),1255.84
2010/04,일본 엔 (JPY) (100),1195.31
2010/05,일본 엔 (JPY) (100),1265.23
2010/06,일본 엔 (JPY) (100),1333.59
2010/07,일본 엔 (JPY) (100),1377.67
2010/08,일본 엔 (JPY) (100),1380.19
2010/09,일본 엔 (JPY) (100),1384.17
2010/10,일본 엔 (JPY) (100),1371.09
2010/11,일본 엔 (JPY) (100),1366.58
2010/12,일본 엔 (JPY) (100),1376.72
2011/01,일본 엔 (JPY) (100),1356.27
2011/02,일본 엔 (JPY) (100),1350.97
2011/03,일본 엔 (JPY) (100),1376.20
2011/04,일본 엔 (JPY) (100),1304.81
2011/05,일본 엔 (JPY) (100),1333.60
2011/06,일본 엔 (JPY) (100),1342.81
2011/07,일본 엔 (JPY) (100),1333.36
2011/08,일본 엔 (JPY) (100),1391.35
2011/09,일본 엔 (JPY) (100),1456.48
2011/10,일본 엔 (JPY) (100),1508.22
2011/11,일본 엔 (JPY) (100),1459.96
2011/12,일본 엔 (JPY) (100),1473.43
2012/01,일본 엔 (JPY) (100),1488.74
2012/02,일본 엔 (JPY) (100),1433.65
2012/03,일본 엔 (JPY) (100),1364.08
2012/04,일본 엔 (JPY) (100),1393.87
2012/05,일본 엔 (JPY) (100),1447.08
2012/06,일본 엔 (JPY) (100),1469.08
2012/07,일본 엔 (JPY) (100),1446.38
2012/08,일본 엔 (JPY) (100),1438.35
2012/09,일본 엔 (JPY) (100),1438.63
2012/10,일본 엔 (JPY) (100),1400.86
2012/11,일본 엔 (JPY) (100),1344.04
2012/12,일본 엔 (JPY) (100),1288.05
2013/01,일본 엔 (JPY) (100),1196.82
2013/02,일본 엔 (JPY) (100),1166.43
2013/03,일본 엔 (JPY) (100),1161.10
2013/04,일본 엔 (JPY) (100),1148.40
