국적별,2017년09월,2017년10월,2017년11월,2017년12월,2018년01월,2018년02월,2018년03월,2018년04월,2018년05월,2018년06월,2018년07월,2018년08월,2018년09월,2018년10월,2018년11월,2018년12월,2019년01월,2019년02월,2019년03월,2019년04월,2019년05월,2019년06월,2019년07월,2019년08월,2019년09월,2019년10월,2019년11월,2019년12월,2020년01월,2020년02월,2020년03월,2020년04월,2020년05월,2020년06월,2020년07월,2020년08월,계
,인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명)
아시아주,841547,906097,870943,926157,759265,829148,1110694,1049030,977320,1025081,992606,1142577,1027937,1227093,1112960,1110023,901838,1017208,1275790,1316534,1205936,1197130,1171203,1303227,1168865,1340928,1204970,1234224,1064009,537600,50321,16982,13148,16690,35995,39246,32020322
일  본,219968,179661,213460,193705,167083,168241,294476,213853,227230,235293,230512,315025,247847,290468,299978,258521,206526,213200,375119,290092,286273,282476,274830,329652,251119,248541,258522,255356,203969,211199,8347,360,413,498,755,1275,7453843
중  국,318682,345384,299247,332474,305127,345341,403413,366604,370222,379891,410337,478140,434595,475307,404256,416279,392814,453379,487623,493250,500413,475007,519132,578112,541350,567695,505369,508877,481681,104086,16595,3935,5124,5051,9738,16275,12750805
대  만,74379,81625,76534,75738,75820,88076,94084,105177,88304,102863,97696,100517,87351,99972,88165,87308,87954,94559,98510,113072,101779,118437,113587,109273,102758,127944,102241,90379,110354,53042,585,155,189,240,305,655,2849627
필리핀,33772,43589,37101,37019,30454,27013,41177,49053,42722,37554,29237,30459,33427,52016,44406,42650,30473,29294,38701,66525,50569,40748,29074,41817,36252,55394,41739,43281,30702,20332,4539,1130,1539,2982,10166,7362,1194268
홍  콩,45023,54962,53286,58761,34671,50590,62340,66533,57320,66136,58373,63397,49649,61473,53790,59546,35896,51312,46068,76104,57026,61728,59036,65958,45911,65544,58600,71751,66962,20966,262,35,24,62,78,167,1679340
태  국,30651,50079,50860,60147,44941,43428,55735,64720,51866,41020,33440,28516,34298,59941,46981,54026,41334,39220,53100,69726,52660,37684,37278,32830,36052,65878,49998,55850,38466,31777,2371,299,195,313,609,781,1397070
말레이시아,20769,32356,33043,45333,22113,22529,37845,41735,25422,27627,15694,19218,28613,40758,45710,55665,22065,27484,40789,43726,31217,25538,16831,20520,28020,45354,49282,57764,27549,18541,890,152,90,121,136,276,970775
싱가포르,15078,19054,21866,36144,9664,9093,22182,21130,19768,23117,11521,11843,15346,21787,25981,40465,9855,9792,22105,23307,20114,24743,10992,13008,17745,24719,27546,42216,10738,5909,219,48,49,50,44,124,587362
인도네시아,16637,19981,19073,22012,17034,14739,20202,27913,19057,22833,18061,15796,18236,24931,24176,26089,18842,18115,25626,31427,18936,27880,18260,18210,19309,28494,23760,29716,19443,15800,3760,1864,1752,2085,4089,2830,656968
인  도,9771,10023,8826,7524,7421,7093,9363,10641,11625,10346,9929,10610,11393,12683,10247,8440,8671,8309,10646,12933,13858,13249,10432,17001,12716,13160,12184,10208,9249,5839,1587,210,415,1799,3694,2060,324155
베트남,28800,38472,28695,24009,16285,24508,37656,50727,33676,48295,46310,37085,37481,55380,40571,29844,20183,42181,46991,63169,44416,58339,52521,43583,43617,64820,43190,30721,30232,30313,4048,6597,1381,1032,1060,1938,1208126
미얀마,6014,5590,5191,6379,5988,5305,6092,7360,6483,5915,6309,5252,5509,6083,5306,5492,5289,5367,7021,7272,6556,6303,5421,5523,6534,5876,5660,6900,5654,4319,2519,763,701,980,3803,4141,190870
몽  골,9354,10294,11452,9758,10793,8901,10664,7607,7793,9123,9070,10418,11100,10729,9464,8202,9785,9176,8724,7582,8014,9244,8766,9626,10900,11221,10519,10042,12323,6399,674,616,78,124,81,561,289177
스리랑카,1909,1585,1021,1134,1500,1153,1491,1400,1692,1930,1525,1623,1720,1742,1045,1080,1287,1516,1494,1478,1538,1819,1355,1916,2103,1449,1070,1313,1377,1088,441,183,442,223,326,166,46134
파키스탄,1178,1317,917,921,1156,1301,1453,1132,1143,1111,1205,1170,1329,1220,1015,953,1032,1439,1282,1218,854,979,1087,1191,1459,1010,1011,1159,1014,1037,474,67,215,249,125,94,35517
방글라데시,1459,1615,1026,1271,1231,1242,1492,1223,1168,1255,1363,1550,1584,1557,1270,1216,1247,1656,1704,1318,1225,1260,1196,1868,1880,1715,1286,1597,1299,996,566,11,172,169,245,278,43210
아시아주 기타,8103,10510,9345,13828,7984,10595,11029,12222,11829,10772,12024,11958,8459,11046,10599,14247,8585,11209,10287,14335,10488,11696,11405,13139,11140,12114,12993,17094,12997,5957,2444,557,369,712,741,263,343075
중 동,20049,20917,17997,15595,15758,16080,22644,22183,19348,19469,21810,23229,21159,22634,18081,15320,15112,16878,22850,22668,17969,23074,23880,25117,24078,24364,20192,16443,17220,14849,2086,134,151,892,1740,1229,603199
우즈베키스탄,7353,7102,6598,5306,5431,5585,7514,7143,6891,6750,6997,7596,7959,8463,7142,5513,5754,7149,8405,7378,6839,7295,7405,7983,9056,8375,7176,5461,6135,6888,782,7,10,233,769,64,212507
터  키,2636,2484,2391,2224,1934,1896,2464,3329,2551,2499,2683,3197,2346,2593,2158,1908,1785,1765,2532,2826,2492,2835,2962,3015,2802,2893,2881,2505,2208,1784,242,26,26,134,271,439,75716
이스라엘,1289,1777,950,737,809,713,1513,1883,1284,896,1186,1205,1955,1774,1229,881,805,761,1613,2221,1409,940,1320,1110,1837,2820,1427,839,803,352,68,21,4,13,5,36,38485
이  란,983,903,755,626,554,547,766,655,721,584,704,604,568,481,229,214,184,329,382,298,271,384,318,526,446,501,402,253,176,160,34,13,8,6,12,55,14652
카자흐스탄,3674,4376,3976,3544,3942,4687,5475,4797,4638,4551,4444,4585,4327,4768,3538,3107,3574,3774,4915,4618,4585,4829,4953,4948,4909,4776,3697,3388,4325,3204,567,15,26,331,401,329,130593
요르단,271,404,245,152,174,180,229,261,214,166,256,203,252,310,281,167,183,205,244,293,154,324,255,242,274,340,277,193,180,168,45,7,15,13,42,67,7286
사우디아라비아,1125,990,587,445,732,558,643,863,576,1386,1828,1957,819,873,632,686,518,542,693,1010,342,2933,2140,2603,1009,830,879,659,1057,318,29,16,6,52,27,10,30373
이라크,195,283,213,251,228,208,270,241,241,215,241,227,268,291,224,157,126,194,286,270,127,274,299,201,342,304,212,188,156,142,26,0,0,2,20,36,6958
중 동 기타,2523,2598,2282,2310,1954,1706,3770,3011,2232,2422,3471,3655,2665,3081,2648,2687,2183,2159,3780,3754,1750,3260,4228,4489,3403,3525,3241,2957,2180,1833,293,29,56,108,193,193,86629
미 주,91382,104588,88227,84686,77166,87798,105628,115465,110254,115716,112761,98954,101795,127001,99759,90495,80921,76380,110027,133817,123519,129186,122257,112483,119156,131722,106706,99484,87492,56817,14110,7029,9622,10901,13113,15061,3171478
미  국,70933,80000,69009,66763,59895,66049,80079,89209,84601,94742,90270,77319,78826,98103,77876,71023,62737,57732,84275,102524,95815,105398,97428,86586,90819,101099,82238,77387,67255,42439,10570,6417,8735,9717,11922,13368,2469158
캐나다,13851,17397,13179,13080,12417,16438,18833,18569,18651,14521,15002,14686,15667,20187,15205,14083,12460,13551,18670,21361,19439,16133,16103,16700,18213,20624,16862,15292,13809,9046,2405,422,695,927,848,1164,486490
브라질,1560,1691,1775,1349,1407,1552,1598,1803,1699,1615,1611,1771,1708,1973,1594,1414,1605,1354,1673,2212,2054,1924,1979,2188,2498,2452,1916,1933,1801,1188,291,52,53,47,62,101,53503
멕시코,2062,2101,1871,1641,1403,1401,2284,2356,2065,2033,2915,2064,1987,2679,2146,1859,1853,1435,2201,3298,2565,2361,3253,2809,3038,2878,2408,2382,2113,1543,388,55,69,96,151,236,67999
칠  레,362,416,288,250,333,408,457,460,494,379,367,412,589,554,371,325,407,415,452,697,603,380,390,398,647,863,402,290,383,495,49,12,1,4,21,18,13392
아르헨티나,366,488,331,341,426,322,399,587,451,341,437,337,437,544,313,238,354,252,401,614,452,354,360,400,645,612,374,335,422,357,71,11,13,10,7,15,12417
콜롬비아,461,483,541,294,270,289,406,491,514,600,578,471,618,700,576,363,329,335,582,699,656,673,670,707,838,764,622,509,376,305,73,12,9,49,20,47,15930
페  루,367,396,223,217,216,315,343,386,370,318,324,396,393,459,377,243,251,264,335,451,407,337,455,573,477,532,366,297,327,310,53,1,5,3,12,17,10816
베네수엘라,154,184,138,123,170,151,165,185,168,136,173,158,188,157,156,154,150,138,173,181,164,178,172,180,163,192,164,127,158,186,35,17,9,9,17,13,4986
에콰도르,167,178,133,92,85,145,147,204,174,137,162,295,240,273,241,126,122,174,265,190,196,162,255,288,393,224,182,177,117,167,39,2,7,5,6,20,5790
쿠  바,21,24,7,6,7,7,21,20,20,8,12,29,28,15,4,16,6,9,12,32,24,35,64,18,34,14,57,10,10,14,5,0,0,0,0,1,590
미 주 기타,1078,1230,732,530,537,721,896,1195,1047,886,910,1016,1114,1357,900,651,647,721,988,1558,1144,1251,1128,1636,1391,1468,1115,745,721,767,131,28,26,34,47,61,30407
구 주,80485,88730,75920,63049,66538,80204,85892,97322,86474,81207,88304,86208,84212,102375,80055,64829,70038,61549,87805,112581,97754,87723,94521,104736,102751,114725,87560,73513,73181,55245,13086,4135,6749,7120,8339,11147,2586062
러시아(연방),23056,25404,23073,21606,21934,20889,25733,31313,26687,26796,28260,23001,23388,28153,23380,23008,25194,20001,27992,34205,32955,28666,28421,28700,30266,33379,26708,26570,28891,22157,5300,1223,1641,2076,2004,2086,804116
독  일,10426,11208,9116,6729,7328,9577,11239,10924,9699,8424,9101,10010,10760,12635,9458,6634,6850,6866,11142,12873,10103,8947,9675,11159,12670,13322,9819,7304,6617,5599,1195,1033,1754,798,1082,1580,293656
영  국,10171,11622,8850,7843,9399,10334,12257,13363,10803,10586,10683,11132,10753,13813,10067,7787,10148,7876,12813,16707,11522,11155,10826,13116,13325,15911,11542,8735,9117,5566,1173,298,374,433,632,619,331351
프랑스,7642,9038,7157,5619,5891,7277,7102,10174,9390,7716,9585,10722,7944,10813,7668,5814,5574,5830,7469,11616,10395,8559,10716,12984,10242,12546,8111,6752,5982,5120,1217,280,157,332,671,1799,255904
네덜란드,2900,3038,2824,2189,2329,3914,2664,3302,3084,2594,3569,3388,3156,3717,3107,2310,2269,2357,2898,4089,3348,2900,4141,3961,3485,4043,3188,2459,2556,2067,597,385,693,686,745,772,95724
우크라이나,2006,2283,1983,2192,1629,1984,2261,2261,2252,1928,2115,2189,2123,2645,2374,1847,2262,2080,2368,2574,2397,1941,2230,2904,2214,2371,2146,2180,1955,1618,630,116,431,862,1160,1000,69511
이탈리아,3307,3706,3944,2288,2761,3200,3545,4147,4479,3959,3819,4277,4482,4934,4340,2603,2731,2384,3583,4381,4856,4136,4388,5915,4513,4951,4422,3084,2880,1718,248,55,179,225,136,229,114805
불가리아,630,613,485,410,366,374,494,587,633,520,512,600,585,584,466,358,431,326,455,742,639,448,543,751,633,655,471,442,351,218,80,43,44,49,107,149,15794
스웨덴,1589,1844,1485,1046,942,1901,1696,1860,1578,2030,1573,1361,1523,2287,1546,1206,982,927,1458,2188,1655,2079,1727,1490,2010,2303,1600,1290,847,650,188,35,27,39,33,123,47118
폴란드,1917,1837,1820,1417,1504,1683,1749,2102,1870,1699,1894,1958,2168,2139,1913,1292,1324,1266,1960,2301,2259,2201,1954,2326,2570,2326,2019,1407,1558,1206,322,83,140,212,319,394,57109
덴마크,1090,1329,979,599,699,802,1161,1169,1017,876,1209,1002,1045,1483,909,672,751,694,1001,1387,1181,939,1507,1045,1244,1802,1120,782,665,640,114,27,39,57,95,141,31272
