0,1,2
날짜,통화명,월평균 매매기준율
2014/03,위안 (CNH),173.87
2014/04,위안 (CNH),167.84
2014/05,위안 (CNH),164.30
2014/06,위안 (CNH),163.64
2014/07,위안 (CNH),164.49
2014/08,위안 (CNH),166.52
2014/09,위안 (CNH),168.02
2014/10,위안 (CNH),172.74
2014/11,위안 (CNH),178.60
2014/12,위안 (CNH),178.33
2015/01,위안 (CNH),174.90
2015/02,위안 (CNH),175.45
2015/03,위안 (CNH),177.99
2015/04,위안 (CNH),175.49
2015/05,위안 (CNH),175.83
2015/06,위안 (CNH),179.19
2015/07,위안 (CNH),183.93
2015/08,위안 (CNH),184.99
2015/09,위안 (CNH),184.49
2015/10,위안 (CNH),180.43
2015/11,위안 (CNH),180.08
2015/12,위안 (CNH),179.97
2016/01,위안 (CNH),181.55
2016/02,위안 (CNH),185.71
2016/03,위안 (CNH),182.56
2016/04,위안 (CNH),176.93
2016/05,위안 (CNH),179.13
2016/06,위안 (CNH),177.26
2016/07,위안 (CNH),171.09
2016/08,위안 (CNH),167.04
2016/09,위안 (CNH),165.72
2016/10,위안 (CNH),167.04
2016/11,위안 (CNH),169.49
2016/12,위안 (CNH),170.71
2017/01,위안 (CNH),172.43
2017/02,위안 (CNH),167.21
2017/03,위안 (CNH),164.84
2017/04,위안 (CNH),164.49
2017/05,위안 (CNH),163.52
2017/06,위안 (CNH),166.14
2017/07,위안 (CNH),167.47
2017/08,위안 (CNH),169.16
2017/09,위안 (CNH),172.34
2017/10,위안 (CNH),171.08
2017/11,위안 (CNH),166.82
2017/12,위안 (CNH),164.53
2018/01,위안 (CNH),165.58
2018/02,위안 (CNH),170.94
2018/03,위안 (CNH),169.64
2018/04,위안 (CNH),169.77
2018/05,위안 (CNH),169.16
2018/06,위안 (CNH),169.14
2018/07,위안 (CNH),167.13
2018/08,위안 (CNH),163.73
2018/09,위안 (CNH),163.43
2018/10,위안 (CNH),163.30
2018/11,위안 (CNH),162.66
2018/12,위안 (CNH),162.94
2019/01,위안 (CNH),164.93
2019/02,위안 (CNH),166.36
2019/03,위안 (CNH),168.38
2019/04,위안 (CNH),169.82
2019/05,위안 (CNH),172.15
2019/06,위안 (CNH),170.04
2019/07,위안 (CNH),170.86
2019/08,위안 (CNH),171.03
2019/09,위안 (CNH),168.17
2019/10,위안 (CNH),166.89
2019/11,위안 (CNH),166.27
2019/12,위안 (CNH),167.58
2020/01,위안 (CNH),168.01
2020/02,위안 (CNH),170.48
2020/03,위안 (CNH),173.78
2020/04,위안 (CNH),172.92
2020/05,위안 (CNH),172.52
2020/06,위안 (CNH),170.65
2020/07,위안 (CNH),170.92
2020/08,위안 (CNH),171.14
2020/09,위안 (CNH),172.98
2020/10,위안 (CNH),170.51
2020/11,위안 (CNH),169.07
2020/12,위안 (CNH),167.63
2021/01,위안 (CNH),169.61
2021/02,위안 (CNH),172.34
2021/03,위안 (CNH),173.76
2021/04,위안 (CNH),171.44
2021/05,위안 (CNH),174.55
2021/06,위안 (CNH),174.66
2021/07,위안 (CNH),176.60
2021/08,위안 (CNH),179.13
2021/09,위안 (CNH),181.18
2021/10,위안 (CNH),184.06
2021/11,위안 (CNH),185.11
2021/12,위안 (CNH),185.74
2022/01,위안 (CNH),187.75
2022/02,위안 (CNH),188.81
2022/03,위안 (CNH),192.16
2022/04,위안 (CNH),191.82
2022/05,위안 (CNH),188.78
2022/06,위안 (CNH),190.68
2022/07,위안 (CNH),194.13
2022/08,위안 (CNH),193.75
2022/09,위안 (CNH),198.19
2022/10,위안 (CNH),198.37
2022/11,위안 (CNH),189.53
2022/12,위안 (CNH),185.47
2023/01,위안 (CNH),183.16
2023/02,위안 (CNH),185.97
2023/03,위안 (CNH),189.10
2023/04,위안 (CNH),191.60
2023/05,위안 (CNH),190.02
2023/06,위안 (CNH),180.99
2023/07,위안 (CNH),178.60
2023/08,위안 (CNH),181.78
2023/09,위안 (CNH),182.11
2023/10,위안 (CNH),184.62
2023/11,위안 (CNH),180.86
2023/12,위안 (CNH),182.29
2024/01,위안 (CNH),184.41
2024/02,위안 (CNH),184.82
2024/03,위안 (CNH),184.48
2024/04,위안 (CNH),188.52
2024/05,위안 (CNH),188.54
2024/06,위안 (CNH),189.80
2024/07,위안 (CNH),189.91
2024/08,위안 (CNH),189.07
2024/09,위안 (CNH),188.53
2024/10,위안 (CNH),191.63
2024/11,위안 (CNH),193.27
2024/12,위안 (CNH),196.93
2025/01,위안 (CNH),198.71
2025/02,위안 (CNH),198.43
2025/03,위안 (CNH),200.79
2025/04,위안 (CNH),197.70
2025/05,위안 (CNH),193.37
2025/06,위안 (CNH),190.30
2025/07,위안 (CNH),191.79
2025/08,위안 (CNH),193.56
2025/09,위안 (CNH),195.36
2025/10,위안 (CNH),199.82
