0,1,2
날짜,통화명,월평균 매매기준율
2004.05,미국 달러 (USD),1177.01
2004.06,미국 달러 (USD),1158.54
2004.07,미국 달러 (USD),1158.12
2004.08,미국 달러 (USD),1158.96
2004.09,미국 달러 (USD),1147.80
2004.10,미국 달러 (USD),1143.52
2004.11,미국 달러 (USD),1090.10
2004.12,미국 달러 (USD),1051.44
2005.01,미국 달러 (USD),1038.32
2005.02,미국 달러 (USD),1022.69
2005.03,미국 달러 (USD),1007.28
2005.04,미국 달러 (USD),1011.00
2005.05,미국 달러 (USD),1002.13
2005.06,미국 달러 (USD),1010.68
2005.07,미국 달러 (USD),1036.79
2005.08,미국 달러 (USD),1020.96
2005.09,미국 달러 (USD),1029.23
2005.10,미국 달러 (USD),1045.89
2005.11,미국 달러 (USD),1041.51
2005.12,미국 달러 (USD),1027.15
2006.01,미국 달러 (USD),987.07
2006.02,미국 달러 (USD),970.18
2006.03,미국 달러 (USD),975.09
2006.04,미국 달러 (USD),954.44
2006.05,미국 달러 (USD),941.40
2006.06,미국 달러 (USD),955.16
2006.07,미국 달러 (USD),950.15
2006.08,미국 달러 (USD),960.72
2006.09,미국 달러 (USD),953.68
2006.10,미국 달러 (USD),954.23
2006.11,미국 달러 (USD),936.22
2006.12,미국 달러 (USD),925.75
2007.01,미국 달러 (USD),936.36
2007.02,미국 달러 (USD),937.02
2007.03,미국 달러 (USD),943.26
2007.04,미국 달러 (USD),931.50
2007.05,미국 달러 (USD),927.91
2007.06,미국 달러 (USD),928.32
2007.07,미국 달러 (USD),918.85
2007.08,미국 달러 (USD),933.80
2007.09,미국 달러 (USD),932.41
2007.10,미국 달러 (USD),915.86
2007.11,미국 달러 (USD),916.98
2007.12,미국 달러 (USD),930.24
2008.01,미국 달러 (USD),942.39
2008.02,미국 달러 (USD),944.69
2008.03,미국 달러 (USD),979.86
2008.04,미국 달러 (USD),986.66
2008.05,미국 달러 (USD),1036.73
2008.06,미국 달러 (USD),1029.27
2008.07,미국 달러 (USD),1019.12
2008.08,미국 달러 (USD),1041.54
2008.09,미국 달러 (USD),1130.40
2008.10,미국 달러 (USD),1326.92
2008.11,미국 달러 (USD),1390.09
2008.12,미국 달러 (USD),1373.84
2009.01,미국 달러 (USD),1346.10
2009.02,미국 달러 (USD),1429.46
2009.03,미국 달러 (USD),1461.98
2009.04,미국 달러 (USD),1341.90
2009.05,미국 달러 (USD),1258.71
2009.06,미국 달러 (USD),1261.35
2009.07,미국 달러 (USD),1263.97
2009.08,미국 달러 (USD),1238.40
2009.09,미국 달러 (USD),1219.15
2009.10,미국 달러 (USD),1175.25
2009.11,미국 달러 (USD),1164.23
2009.12,미국 달러 (USD),1166.45
2010.01,미국 달러 (USD),1138.82
2010.02,미국 달러 (USD),1157.08
2010.03,미국 달러 (USD),1137.64
2010.04,미국 달러 (USD),1117.11
2010.05,미국 달러 (USD),1163.11
2010.06,미국 달러 (USD),1212.33
2010.07,미국 달러 (USD),1207.30
2010.08,미국 달러 (USD),1179.92
2010.09,미국 달러 (USD),1167.01
2010.10,미국 달러 (USD),1123.45
2010.11,미국 달러 (USD),1126.20
2010.12,미국 달러 (USD),1147.55
2011.01,미국 달러 (USD),1120.07
2011.02,미국 달러 (USD),1118.14
2011.03,미국 달러 (USD),1122.45
2011.04,미국 달러 (USD),1086.84
2011.05,미국 달러 (USD),1083.54
2011.06,미국 달러 (USD),1081.27
2011.07,미국 달러 (USD),1059.50
2011.08,미국 달러 (USD),1073.17
2011.09,미국 달러 (USD),1118.61
2011.10,미국 달러 (USD),1155.45
2011.11,미국 달러 (USD),1132.31
2011.12,미국 달러 (USD),1147.45
2012.01,미국 달러 (USD),1145.85
2012.02,미국 달러 (USD),1123.35
2012.03,미국 달러 (USD),1125.90
2012.04,미국 달러 (USD),1135.55
2012.05,미국 달러 (USD),1154.27
2012.06,미국 달러 (USD),1165.51
2012.07,미국 달러 (USD),1143.36
2012.08,미국 달러 (USD),1131.69
2012.09,미국 달러 (USD),1124.78
2012.10,미국 달러 (USD),1106.93
2012.11,미국 달러 (USD),1087.52
