국적별,2025년01월,2025년02월,2025년03월,2025년04월,2025년05월,2025년06월,2025년07월,2025년08월,2025년09월,계
,인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명)
아시아주,920897,941351,1272817,1251246,1271869,1260012,1391490,1473005,1332420,11115107
일  본,174717,224482,383312,257903,291626,287140,299782,378852,370709,2668523
중  국,364460,340860,416849,443230,484390,477052,602147,604618,503186,4236792
대  만,135434,120015,140017,151613,150272,164885,199280,191565,154992,1408073
필리핀,36740,37689,50973,69393,60559,53128,41692,40847,47625,438646
홍  콩,44278,30270,44030,64591,51363,56109,64224,64860,40879,460604
태  국,20447,20598,27942,40689,29480,21179,20856,18844,21535,221570
말레이시아,26188,25161,24780,30811,27416,19945,13840,15516,31359,215016
싱가포르,17575,15485,36370,37953,37734,40211,16008,15894,29816,247046
인도네시아,27516,24574,32325,36580,34665,32029,28651,24800,26703,267843
인  도,10783,11586,16082,21196,22256,19905,16605,15853,19353,153619
베트남,24922,51313,52874,52792,41565,45408,47692,51664,46001,414231
미얀마,5773,6876,7023,6877,7575,7591,7049,8084,7323,64171
몽  골,15487,11164,14847,12996,11659,16955,14456,15682,13727,126973
스리랑카,2455,2598,2559,2242,2413,2578,2215,3063,2681,22804
파키스탄,1062,1572,1105,1242,1067,1230,1256,1636,1383,11553
방글라데시,1769,2665,1830,1871,1825,1806,1902,3176,2242,19086
아시아주 기타,11291,14443,19899,19267,16004,12861,13835,18051,12906,138557
중 동,15871,18049,24237,28436,23003,23494,27299,31760,31268,223417
우즈베키스탄,5343,6468,5829,4092,4381,4413,5741,8625,8449,53341
터  키,2461,2395,5440,7100,4920,5347,5982,6300,6022,45967
이스라엘,480,675,2029,3052,2207,1315,1692,1841,3885,17176
이  란,185,184,633,444,314,178,246,368,527,3079
카자흐스탄,4007,4285,6267,6044,5229,5636,6269,7222,5607,50566
요르단,140,193,197,205,245,254,201,222,251,1908
사우디아라비아,855,896,789,2049,1920,2512,2598,1752,1678,15049
이라크,131,186,224,274,214,170,256,230,266,1951
중 동 기타,2269,2767,2829,5176,3573,3669,4314,5200,4583,34380
미 주,97819,96522,173633,206644,177051,204079,173093,151936,169071,1449848
미  국,74262,72445,132117,153381,132324,166242,131832,111754,121682,1096039
캐나다,13975,14252,25018,30972,27787,22065,24316,24153,27534,210072
브라질,2488,1970,4012,4511,3656,3182,3442,3103,3751,30115
멕시코,4226,4586,6549,9977,6554,6303,8430,7584,8869,63078
칠  레,451,729,688,851,877,787,525,611,924,6443
아르헨티나,536,550,1094,1223,1083,760,664,648,874,7432
콜롬비아,557,513,1250,1852,1481,1534,1347,1222,1679,11435
페  루,310,392,625,827,687,697,534,698,772,5542
베네수엘라,115,83,198,228,191,210,199,205,283,1712
에콰도르,128,153,302,315,335,315,252,363,400,2563
쿠  바,2,6,12,10,13,37,18,20,43,161
미 주 기타,769,843,1768,2497,2063,1947,1534,1575,2260,15256
구 주,53208,60422,111272,168563,120757,100512,111750,135713,129596,991793
러시아(연방),11513,11857,19322,26827,21633,19040,20446,21474,19476,171588
독  일,6053,7597,18334,27847,15251,11925,11340,16519,19312,134178
영  국,6905,7398,15717,24459,16606,13937,13020,15571,16239,129852
프랑스,6719,8914,12830,22806,17440,12208,16896,21602,16097,135512
네덜란드,2656,2802,4587,7228,6388,5025,6924,6891,6184,48685
우크라이나,1528,1815,1981,2192,2109,1967,2126,1880,2090,17688
이탈리아,2956,3119,5703,9201,6357,6041,5707,12971,7502,59557
불가리아,256,270,949,1388,751,451,517,568,804,5954
스웨덴,849,1049,1888,2673,1957,2416,1908,1690,2527,16957
폴란드,2000,2460,4982,6003,5222,4070,4617,5136,6748,41238
덴마크,638,674,1403,2137,1303,1058,1926,1460,1992,12591
그리스,572,615,1200,1469,1068,939,929,1394,1174,9360
스위스,779,984,2310,4261,2785,2219,3051,2374,3294,22057
노르웨이,626,620,1192,1857,1005,1382,1769,946,1533,10930
스페인,1813,2019,4064,5904,4429,4433,5893,9481,6005,44041
루마니아,694,778,1923,2697,1670,1431,1392,1731,1865,14181
벨기에,783,951,1565,2877,2072,1371,2241,1807,2570,16237
구 주 기타,5868,6500,11322,16737,12711,10599,11048,12218,14184,101187
대양주,22872,15078,24817,41623,27238,22899,20263,17578,30894,223262
오스트레일리아,19468,12638,20574,36222,23013,19360,16861,14565,25954,188655
뉴질랜드,3226,2299,4002,5036,3949,3302,3025,2731,4639,32209
키리바시,9,6,6,16,5,11,10,4,13,80
피  지,42,43,55,91,83,74,101,79,81,649
대양주 기타,127,92,180,258,188,152,266,199,207,1669
아프리카주,4489,5077,5288,7929,6965,6069,7356,8465,7436,59074
남아프리카 공화국,1330,1536,1308,1839,1844,1540,1732,2300,1590,15019
나이지리아,119,166,148,129,122,135,161,232,238,1450
이집트,421,516,435,665,606,616,588,594,706,5147
아프리카주 기타,2619,2859,3397,5296,4393,3778,4875,5339,4902,37458
기 타,2087,1909,2532,2672,2504,2155,1948,1875,2128,19810
교포,2070,1893,2506,2651,2487,2132,1929,1854,2096,19618
미상,17,16,26,21,17,23,19,21,32,192
전 체,1117243,1138408,1614596,1707113,1629387,1619220,1733199,1820332,1702813,14082311
