국적별,2023년09월,2023년10월,2023년11월,2023년12월,2024년01월,2024년02월,2024년03월,2024년04월,2024년05월,2024년06월,2024년07월,2024년08월,2024년09월,2024년10월,2024년11월,2024년12월,2025년01월,2025년02월,2025년03월,2025년04월,2025년05월,2025년06월,2025년07월,2025년08월,2025년09월,계
,인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명)
아시아주,831323,928411,872078,837302,704747,856195,1175299,1104892,1100342,1097742,1103702,1254468,1144025,1215297,1077852,1030128,920897,941351,1272817,1251246,1271869,1260012,1391490,1473005,1332420,27448910
일  본,250102,255092,278322,195869,143152,183999,338742,229252,278423,258431,242953,323465,310652,323266,341198,250546,174717,224482,383312,257903,291626,287140,299782,378852,370709,6871987
중  국,263940,249483,221469,253675,280035,343719,391347,411331,395222,397325,459069,505559,422809,392230,297840,306787,364460,340860,416849,443230,484390,477052,602147,604618,503186,9828632
대  만,92411,96845,86141,80633,93589,96704,115578,117606,116956,144255,142721,148735,126130,133433,119505,118696,135434,120015,140017,151613,150272,164885,199280,191565,154992,3238011
필리핀,27175,43298,39219,35246,26908,25867,54881,50645,44686,44891,34632,35225,40278,58724,50599,49424,36740,37689,50973,69393,60559,53128,41692,40847,47625,1100344
홍  콩,30424,41375,38052,42777,25755,35458,49235,42654,45790,54449,58305,61864,40033,52439,46766,58670,44278,30270,44030,64591,51363,56109,64224,64860,40879,1184650
태  국,23684,46482,30164,33449,20516,22347,33518,43074,28723,20150,18056,16775,18868,40167,28920,32742,20447,20598,27942,40689,29480,21179,20856,18844,21535,679205
말레이시아,21867,33321,30565,33106,16913,29516,25294,31993,27380,16138,12275,12913,29347,37050,30623,31394,26188,25161,24780,30811,27416,19945,13840,15516,31359,634711
싱가포르,26929,34710,44456,56397,14036,15282,38849,32481,37306,34134,14068,17295,26006,40841,43582,61548,17575,15485,36370,37953,37734,40211,16008,15894,29816,784966
인도네시아,16843,30343,25643,27708,19274,19466,26105,38924,31739,29137,22818,24303,27238,34338,29100,33743,27516,24574,32325,36580,34665,32029,28651,24800,26703,704565
인  도,11002,19370,11477,9207,9842,9447,16443,17698,18216,17693,14336,15734,17071,16591,12927,10670,10783,11586,16082,21196,22256,19905,16605,15853,19353,381343
베트남,36665,46026,37039,31728,21397,39674,48721,53338,38778,47323,45282,47019,44680,48535,40504,36169,24922,51313,52874,52792,41565,45408,47692,51664,46001,1077109
미얀마,5266,5215,4795,5816,5151,5507,5787,5353,6448,6269,6168,8049,7513,6967,6540,6582,5773,6876,7023,6877,7575,7591,7049,8084,7323,161597
몽  골,11809,10364,10984,11076,12465,10036,10606,9456,10768,12578,12415,12964,14415,12472,11398,12329,15487,11164,14847,12996,11659,16955,14456,15682,13727,313108
스리랑카,2202,2051,1265,2204,2301,2313,2435,1971,2753,1977,2375,2942,2786,2007,1984,1822,2455,2598,2559,2242,2413,2578,2215,3063,2681,58192
파키스탄,1037,1342,930,1168,1212,1613,1241,1177,1259,1236,1472,1759,1603,1134,1139,997,1062,1572,1105,1242,1067,1230,1256,1636,1383,31872
방글라데시,1577,2236,1402,1755,1655,2311,2017,1608,1975,1420,2174,3008,2592,1766,1735,1698,1769,2665,1830,1871,1825,1806,1902,3176,2242,50015
아시아주 기타,8390,10858,10155,15488,10546,12936,14500,16331,13920,10336,14583,16859,12004,13337,13492,16311,11291,14443,19899,19267,16004,12861,13835,18051,12906,348603
중 동,21297,19182,16578,13670,15680,17049,18245,23699,20158,21997,23571,25776,24432,23861,19700,14654,15871,18049,24237,28436,23003,23494,27299,31760,31268,542966
우즈베키스탄,5967,4680,4129,3687,5059,6121,4766,4048,3910,3929,4936,6738,7293,4501,4414,3786,5343,6468,5829,4092,4381,4413,5741,8625,8449,131305
터  키,3199,3243,2868,2312,2186,2116,3289,6541,3862,4716,4248,4489,4147,4545,3321,2567,2461,2395,5440,7100,4920,5347,5982,6300,6022,103616
이스라엘,1881,940,394,318,455,386,1072,1647,1564,918,1129,1242,1632,2811,1363,570,480,675,2029,3052,2207,1315,1692,1841,3885,35498
이  란,468,373,248,229,180,212,499,289,344,328,320,704,435,279,287,191,185,184,633,444,314,178,246,368,527,8465
카자흐스탄,4617,4526,3687,3253,3907,3812,5450,4409,4558,4338,5134,6120,4832,5008,4116,3209,4007,4285,6267,6044,5229,5636,6269,7222,5607,121542
요르단,226,255,212,157,125,132,139,170,251,187,254,286,291,255,240,163,140,193,197,205,245,254,201,222,251,5251
사우디아라비아,1494,1612,1934,1191,1102,1223,623,2349,1891,3806,3332,1538,1607,1772,2468,940,855,896,789,2049,1920,2512,2598,1752,1678,43931
이라크,288,214,187,113,142,230,163,193,170,193,248,245,175,304,201,130,131,186,224,274,214,170,256,230,266,5147
중 동 기타,3157,3339,2919,2410,2524,2817,2244,4053,3608,3582,3970,4414,4020,4386,3290,3098,2269,2767,2829,5176,3573,3669,4314,5200,4583,88211
미 주,123884,148828,120314,97989,80547,81912,154163,159909,157877,181262,155900,140091,149342,191544,143531,123433,97819,96522,173633,206644,177051,204079,173093,151936,169071,3660374
미  국,96925,115763,93498,78291,61754,62607,119955,122728,122694,151721,120874,102057,109695,141152,108982,95889,74262,72445,132117,153381,132324,166242,131832,111754,121682,2800624
