국적별,2020년09월,2020년10월,2020년11월,2020년12월,2021년01월,2021년02월,2021년03월,2021년04월,2021년05월,2021년06월,2021년07월,2021년08월,2021년09월,2021년10월,2021년11월,2021년12월,2022년01월,2022년02월,2022년03월,2022년04월,2022년05월,2022년06월,2022년07월,2022년08월,2022년09월,2022년10월,2022년11월,2022년12월,2023년01월,2023년02월,2023년03월,2023년04월,2023년05월,2023년06월,2023년07월,2023년08월,2023년09월,계
,인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명)
아시아주,39189,34984,33950,35923,31329,36489,45861,40822,39701,40557,40992,48395,45837,42839,46225,50822,42967,55736,56000,56662,78097,110141,135377,171567,183027,292665,297761,379613,300353,349269,575973,597763,611875,700892,750567,842365,831323,8073908
일  본,794,927,1254,951,1299,1719,949,872,1403,875,881,2258,1142,1237,1623,1007,1162,2934,1397,2231,3701,5855,11789,26482,27560,67159,62422,84175,66900,94393,192318,128309,183691,196512,211468,263453,250102,1903204
중  국,15307,11477,9174,7987,7346,11982,18980,16830,14221,12942,13469,17103,19144,14035,12472,11691,9489,16752,14726,10230,11253,12741,17907,30248,29531,22940,24174,27367,24946,45884,73390,105967,128171,168035,224805,259659,263940,1736315
대  만,329,299,299,264,253,444,326,278,349,275,304,601,294,341,375,290,309,857,410,505,786,1008,1756,4401,4555,11358,17914,29066,49477,47970,63504,77187,66654,97365,103566,98854,92411,775234
필리핀,8485,9041,9700,9718,8087,8006,9268,8398,8948,9572,10247,10951,9745,10683,11187,11141,9363,9038,11397,12138,14119,15139,18146,17304,18191,26966,23963,24081,15759,14368,24735,35258,28094,29393,26215,24059,27175,578078
홍  콩,115,59,89,59,61,129,89,38,95,79,94,197,127,117,119,113,76,272,150,140,307,662,1237,2043,3225,11216,14721,27146,26777,16237,27155,38138,28617,31874,39527,43031,30424,344555
태  국,523,460,391,383,628,405,474,505,628,928,705,600,845,897,900,804,1108,1492,1452,3664,8772,16822,16808,11056,13315,34428,29316,41026,25823,28142,43084,54431,31597,25023,20184,17379,23684,458682
말레이시아,186,180,168,261,237,394,333,252,253,323,352,566,348,396,583,451,557,987,624,1280,2432,3415,3799,4826,6354,12349,13113,20713,11058,16486,23569,25679,21544,15799,11356,15522,21867,238612
싱가포르,97,134,216,381,86,92,83,101,77,95,137,205,198,361,2414,3676,1345,1489,2450,3805,6776,10462,7832,7567,14862,24761,33212,50711,13316,12173,34337,31144,30557,35377,13348,15070,26929,385876
인도네시아,3396,3230,3723,4790,3193,3543,3593,3680,4089,4529,4511,4175,3029,3226,3929,5066,4550,4425,4234,4331,5643,8265,8998,10035,9344,14750,14299,17876,12838,14156,18520,23281,22531,21914,17934,18538,16843,335007
인  도,2408,2348,1938,2283,2725,2320,2970,2357,1942,2072,2697,3125,2734,3192,2745,2459,2871,3249,3303,3114,4250,5160,6656,7159,7227,7968,8253,5619,4481,4664,8427,9722,10783,11503,11052,11083,11002,187861
베트남,1447,853,1269,1769,1012,1702,2144,1349,1726,2133,1704,1994,1788,1511,2132,3751,2318,5002,5096,4041,6429,12884,18867,24670,22784,32010,27313,23647,21621,28828,34929,40640,29422,35848,38402,39540,36665,519240
미얀마,4899,4935,4765,5927,5249,4268,4772,4334,4299,4985,4521,4116,4065,5062,5388,5669,5215,4291,4781,4728,5613,5275,6654,6619,5959,7206,5472,4144,3209,3271,5248,4162,4450,4771,4991,5523,5266,184102
몽  골,239,75,171,135,119,327,178,157,276,288,323,992,1033,424,384,1268,628,1174,1304,1018,1161,3864,5892,8749,8915,8002,9986,11977,12585,10000,12412,9909,10009,13187,11114,11767,11809,171851
스리랑카,235,243,138,208,224,161,385,306,288,298,333,342,380,339,401,600,751,475,817,611,757,1438,1420,1293,1837,1910,2357,1771,1516,1632,1996,1326,1856,1807,1597,1952,2202,36202
파키스탄,72,54,67,135,176,325,270,417,131,203,121,163,193,118,164,283,363,538,490,637,609,725,800,1034,966,1589,935,825,779,1005,1110,733,960,933,957,1243,1037,21160
방글라데시,213,217,212,152,164,109,428,199,238,154,173,145,149,247,344,596,720,689,898,1117,1095,1213,1314,1959,1395,1228,1862,1784,1302,1442,1762,1161,1745,1158,2140,2208,1577,33509
아시아주 기타,444,452,376,520,470,563,619,749,738,806,420,862,623,653,1065,1957,2142,2072,2471,3072,4394,5213,5502,6122,7007,6825,8449,7685,7966,8618,9477,10716,11194,10393,11911,13484,8390,164420
중 동,1473,1214,1168,1167,1510,2220,2634,3052,2813,3269,3671,4407,3958,3930,2936,2569,2757,3856,3820,5192,9533,12505,13804,16147,15371,14785,15369,11355,10995,12511,16110,16371,17233,17413,20459,21401,21297,320275
우즈베키스탄,414,202,95,174,395,615,930,1444,1140,1534,1539,1488,1616,1194,856,923,1003,1575,1510,1454,2275,3152,3997,5781,5377,3761,3541,2769,3819,4644,4289,3285,3567,3823,4655,5935,5967,90738
