국적별,2014년09월,2014년10월,2014년11월,2014년12월,2015년01월,2015년02월,2015년03월,2015년04월,2015년05월,2015년06월,2015년07월,2015년08월,2015년09월,2015년10월,2015년11월,2015년12월,2016년01월,2016년02월,2016년03월,2016년04월,2016년05월,2016년06월,2016년07월,2016년08월,2016년09월,2016년10월,2016년11월,2016년12월,2017년01월,2017년02월,2017년03월,2017년04월,2017년05월,2017년06월,2017년07월,2017년08월,계
,인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명)
아시아주,1014264,1070247,919491,909465,752382,894641,1022000,1138079,1107007,570439,446220,862931,993841,1130458,947709,933648,899287,959404,1158639,1221517,1240415,1304741,1452198,1423878,1273663,1313767,1081533,1135258,1025675,1069490,989076,806214,740354,751215,761331,868506,36188983
일  본,196306,190335,179533,170487,139632,142587,218932,154402,188420,101206,81748,148632,157313,180348,164685,159877,136884,144493,224328,175283,178735,180192,186194,225456,208759,227149,213211,197209,154862,185032,274478,165748,159379,167785,170634,226735,6376989
중  국,564078,562278,460671,420501,394345,516787,515130,641610,618083,315095,255632,513275,591242,650174,507579,465218,521981,546408,601671,682318,705844,758534,917519,873771,726266,680918,516956,535536,565243,590790,360782,227811,253359,254930,281263,339388,18932986
대  만,52942,58542,49286,49571,49798,53719,52304,60752,59061,14816,9879,25622,46353,48929,47463,49494,57700,57876,57848,69151,65168,87722,81459,79481,73846,74516,64210,64488,69623,75830,74512,79203,73641,77986,84678,81867,2179336
필리핀,32082,40015,34048,32430,24716,23740,33763,45128,41141,31427,23529,32801,36605,43018,34745,33009,31098,30729,42494,46187,52229,49835,53411,50134,53644,56021,45434,45529,36950,35286,40085,47256,39055,35226,32343,31020,1396163
홍  콩,40614,52371,47062,54153,35407,50992,51876,67465,54095,13949,7761,33752,52400,53648,47329,54753,33627,49160,62949,52699,52006,62492,58674,56507,42212,62946,53406,63998,55524,36845,47834,79067,51875,58590,57005,59259,1814302
태  국,33552,52149,42985,47046,40880,34861,46868,43851,35020,16749,12130,13634,15907,36102,31627,44140,39032,35833,46657,51733,44706,30436,27271,20858,27380,50843,42892,52466,41877,40023,52503,56351,40032,27860,24631,23497,1324382
말레이시아,20846,28279,26603,36473,12396,14213,21493,28330,19463,10283,5893,9709,17570,23767,28090,32143,13907,19657,28672,31762,27926,15685,16208,13860,28962,36243,34322,44050,20559,19836,30820,34441,23898,18118,12757,15711,822945
싱가포르,15228,20084,20883,34782,8934,8166,15541,18331,16747,7926,4439,6972,11867,15672,18224,27334,8261,8255,17649,20216,17957,21827,11414,10927,17682,22933,24470,39957,9797,8923,21002,22912,18466,21482,10682,10764,596706
인도네시아,12230,18915,15818,22678,12120,12092,15667,21092,20136,14881,10418,14555,15393,20166,16513,20557,15757,15849,19515,27029,28240,25634,29404,25139,25056,29294,24639,29905,19515,21133,21955,24278,17408,18760,16128,13957,711826
인  도,14305,12964,10066,8170,7228,7983,10206,11977,14160,11903,8551,31461,14150,15476,11644,8863,10312,10230,13859,13954,20562,18595,20286,20053,21109,18281,15838,12832,12461,12446,11805,9518,11440,9530,10127,9945,482290
베트남,11663,14339,11143,9657,7895,9809,18309,18937,14485,10840,9172,12453,14052,18740,16257,11816,8843,17804,18654,24455,18190,24593,24540,20660,23921,28558,22552,18632,13193,19021,25159,31324,25279,31688,31528,27572,665733
미얀마,4525,4143,5068,5056,4486,4549,4850,5847,5497,4395,4204,4629,4917,5405,4902,5255,5292,5092,5400,5917,6144,6435,5461,5558,5735,5916,5375,6133,5521,5787,6679,5898,5842,5967,5538,5500,192918
몽  골,5001,4937,5065,5601,6199,5320,5571,5980,7456,7830,5746,6325,6357,7497,7663,5974,6524,6237,5947,5256,6013,7782,6808,6963,6526,6743,6488,7878,8520,7286,8627,6771,6345,9782,8301,7426,240745
스리랑카,1700,1237,1105,1185,1250,1200,1532,1886,1939,1502,1448,1418,1532,1572,1168,1407,1474,1216,1359,1824,3419,2413,2145,1566,1786,1324,1010,1253,1253,1265,1456,1426,1766,1940,1365,1558,55899
파키스탄,1089,847,857,745,697,862,1099,1006,930,884,601,1238,959,1275,1129,948,961,1070,1213,947,1224,843,875,1256,996,1248,1006,878,900,1341,1292,1071,1066,754,1188,1156,36451
방글라데시,1054,814,1168,637,690,887,942,1107,1055,791,827,1021,1035,1221,1128,1055,944,914,1040,1042,1631,1128,932,1292,1155,1281,1023,790,786,1160,1224,1108,1051,886,1195,1302,37316
아시아주 기타,7049,7998,8130,10293,5709,6874,7917,10378,9319,5962,4242,5434,6189,7448,7563,11805,6690,8581,9384,11744,10421,10595,9597,10397,8628,9553,8701,13724,9091,7486,8863,12031,10452,9931,11968,11849,321996
중 동,17597,16055,12188,11006,10769,11279,15786,15448,15367,11442,13610,16831,15384,16625,13975,11868,13000,13414,17322,16321,16460,14672,18868,19131,17566,17347,16524,12968,14359,15233,18950,18076,16659,16917,21291,21495,561803
우즈베키스탄,4776,4470,4237,3276,3601,4074,4774,4947,5230,4407,4988,5483,5299,5475,4570,4138,5088,4970,5914,5840,5847,5735,5772,6347,5987,5671,5830,4313,5400,5550,6009,5637,6433,6491,6950,7099,190628
터  키,2133,2154,1784,1508,1392,1439,2109,2242,2269,1642,1783,2262,2265,2215,2070,1478,1602,1639,2098,2614,2570,2377,2782,2245,2602,2378,1946,1688,1749,1703,2138,2250,2125,2265,2418,2889,74823
이스라엘,906,1717,948,930,788,804,1253,1456,1299,706,928,1043,1031,1585,982,831,885,717,1202,1240,1272,1009,992,993,1287,1878,1078,769,888,820,1310,1855,1003,827,1099,952,39283
이  란,1219,954,432,321,235,297,578,419,490,400,413,645,621,775,512,321,276,455,614,485,679,726,896,936,958,896,1005,458,621,599,851,560,768,930,854,1018,23217
카자흐스탄,2319,2235,1745,2323,2263,2278,2994,2585,2555,2043,2006,3023,2106,2662,2518,2155,2524,2920,3289,2849,2547,2842,2829,3206,2568,2957,2968,2569,3075,3579,3882,3726,3258,3535,4081,3781,100795
요르단,500,361,270,210,167,183,269,286,304,167,201,260,303,358,248,207,169,199,239,257,268,129,184,251,253,339,268,165,163,165,256,228,199,161,238,213,8638
사우디아라비아,1283,919,497,448,567,569,1079,674,769,544,1156,1442,1019,734,510,490,637,705,813,546,929,367,1778,2085,1135,670,895,561,594,659,867,816,694,589,1820,2115,31975
이라크,323,360,213,150,167,167,263,159,248,147,154,180,186,281,275,140,126,168,189,194,259,142,181,191,183,181,169,128,118,176,203,211,168,108,216,305,7029
중 동 기타,4138,2885,2062,1840,1589,1468,2467,2680,2203,1386,1981,2493,2554,2540,2290,2108,1693,1641,2964,2296,2089,1345,3454,2877,2593,2377,2365,2317,1751,1982,3434,2793,2011,2011,3615,3123,85415
미 주,89255,99796,75767,69057,63903,62830,85991,102942,91234,76773,76878,80985,81626,99288,79531,72172,69862,65119,88150,102644,103539,109777,101861,92162,99676,109407,88973,84987,74624,69439,94387,107394,99262,105729,104470,92919,3172409
미  국,69655,77836,58709,55001,50896,48728,66755,80120,70891,62550,62627,63522,63793,77878,62273,57580,55739,50705,68719,81439,80489,88276,78526,69434,75736,82885,67641,66597,57212,52732,72477,83485,76347,85955,82472,71496,2477176
캐나다,13765,15203,12754,10733,9898,10537,14085,16447,14541,8909,9496,11881,11870,14505,12345,11033,10518,10695,14492,15614,15617,13950,15886,15499,16147,18634,15281,13412,12593,11684,16327,17604,16687,14381,14574,14899,492496
