,,,,,
대륙,국가,기관명,URL,비고,
아시아,중국,National Bureau of Statistics of China,https://data.stats.gov.cn/english/easyquery.htm?cn=C01,Annual > Tourism > Number of Overseas Visitor Arrivals by Country/Region,
아시아,일본,JNTO(Japan National Tourism Organization),https://www.jnto.go.jp/jpn/statistics/data_info_listing/index.html,ホ一ム> 統計·デ一タ>  訪日外客統計（報道?表資料）> 月別推計値,
아시아,베트남,Vietnam National Administration of Tourism,https://vietnamtourism.gov.vn/statistic/international,2020년 4월부터 베트남 입국 금지 정책을 실행하여 현재까지 베트남 관광청은 입국 통계를 발표하지 않음,
아시아,태국,Ministry of Tourism and Sports,https://www.mots.go.th/news/category/411,Home > ?????????????????? > ?????????????????????? ?? 2563 (Tourism Statistics 2020) >???????????????????????????????????????????????????? ( International Tourist Arrivals to Thailand) > B열,
아시아,필리핀,"REPUBLIC OF THE PHILIPPINES, DEPARTMENT OF TOURISM",https://tourism.gov.ph/tourism/demand-statistics ,0,
아시아,홍콩,Hong Kong Tourism Board,https://partnernet.hktb.com/korea/kr/research_statistics/latest_statistics/index.html,Home > Research & Statistics > Latest Statistics > Visitor Arrivals To Hong Kong In~,
아시아,대만,"Tourism Bureau, M.O.T.C. Republic of China(Taiwan) ",https://stat.taiwan.net.tw/inboundSearch,Information > Statistic > Tourism Statistics > Monthly Statistics > Visitor Arrivals by Gender and by Purpose of Visit,
아시아,마카오,DSEC,https://www.dsec.gov.mo/en-US/Statistic?id=402,"Tourism, MICE and Gaming > Visitor Arrivals > 엑셀파일 sheet 1",
아시아,몰디브,Ministry of Tourism,https://www.tourism.gov.mv/en/statistics/publications,Statistical Publications 선택,
아시아,싱가포르,Department of Statistics Singapore,https://tablebuilder.singstat.gov.sg/table/TS/M550001,"Directory > Industry > Tourism > International Visitor Arrivals > International Visitor Arrivals By Inbound Tourism Markets, Monthly",
아시아,말레이시아,Tourism Malaysia,https://data.tourism.gov.my/,,
아시아,인도네시아,Badan Pusat Statistik,https://www.bps.go.id/en/statistics-table/2/MTQ3MCMy/tourist-visits-abroad-by-month--visit-.html,,
아시아,캄보디아,Tourism of Cambodia,https://www.nagacorp.com/eng/ir/tourism.php,,
아시아,라오스,The European Chamber of Commerce and Industry in Lao PDR (ECCIL),https://eccil.org/wp-content/uploads/2021/06/Statistical-Report-on-Tourism-2020.pdf,,
아시아,튀르키예,Republic Of T?rkiye Ministry Of Culture and Tourism,https://www.ktb.gov.tr/EN-249300/monthly-bulletins.html,,
아시아,인도,"Department of Tourism, Ministry of Tourism",http://tourism.gov.in/market-research-and-statistics,,
아시아,몽골,NATIONAL STATISTICS OFFICE OF MONGOLIA,"https://www.1212.mn/en/statcate/table-view/Industry,%20service/Tourism/DT_NSO_1800_003V202.px?subtables=NUMBER%20OF%20INBOUND%20TOURISTS%20by%20country","우측 상단 EN 클릭 (영어전환) > STATISTICS > TOURISM > TABLES > NUMBER OF INBOUND TOURISTS, by country > Country : Korea, Time, OUTPUT : table",
아시아,미얀마,Ministry of Hotels and Tourism,https://tourism.gov.mm/statistics,OUR ROLE > Statistics > Arrival 2019,
아시아,이스라엘,Central Bureau of Statistics,https://www.cbs.gov.il/en/subjects/Pages/Tourism-and-Hotels.aspx,CBS Site > Subjects > Tourism and Accomodation Services,
아시아,부탄,"National Statistics Bureau, Bhutan",https://www.tourism.gov.bt/resources/annual-reports,,
아시아,스리랑카,Sri Lanka Tourism Development Authority,https://sltda.gov.lk/en/monthly-tourist-arrivals-reports,,
아시아,네팔,"Government of Nepal Ministry of Culture, Tourism & Civil Aviation",https://www.tourism.gov.np/,Notices 게시판(2022년) 및 Publications 게시판(2021년 이전)에 연도별 자료,
아시아,요르단,Jordan Society of Tourism & Travel Agents,http://www.jsta.org.jo/EN/List/Tourist_Statistics,,
아시아,브루나이,Tourism Development Department,http://www.tourism.gov.bn/SitePages/Statistic.aspx,,
유럽,스페인,national statistics institute ,https://ine.es/dynt3/inebase/en/index.htm?padre=3616&capsel=3616,Tourist Movement on Borders - national results - number of tourists by country of residence - country of residence에서 전체 선택해제 후 korea 검색 ,
유럽,독일,Statistischen Amter,https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Gastgewerbe-Tourismus/Publikationen/_publikationen-innen-tourismus-monat.html?nn=206104,,
유럽,오스트리아,Statistics Austria,https://www.statistik.gv.at/en/statistics/tourism-and-transport/tourism/accommodation/arrivals-overnight-stays,Further data - Table: Arrivals and overnight stays in April 2022 by countries of origin,
유럽,영국,VisitEngland,https://www.visitbritain.org/latest-quarterly-data-uk-overall,Country : South Korea 필터 적용 후 apply 클릭 ,
유럽,슬로베니아,Statistical Office of the Republic of Slovenia,https://pxweb.stat.si/SiStat/en/Podrocja/Index/155/tourism ,"tourism > Arrivals and overnight stays by countries, municipalities, Solovenia, monthly 선택, municipalities -> slovenia 선택, country - republic of Korea 선택  - tourist arrivals 선택 ",
유럽,러시아,fedstat,https://www.fedstat.ru/indicator/38479,,
유럽,보스니아,Agency for Statistics of Bosnia and Herzegovina,https://bhas.gov.ba/Calendar/Category?id=19&page=1&statGroup=19&tabId=0,Juzna Koreja = 대한민국 ,
유럽,핀란드,Visit Finland,http://visitfinland.stat.fi/PXWeb/pxweb/fi/VisitFinland,Accommodation statistics > 116n-Monthly nights spent and arrivals by country of residence,
유럽,북마케도니아,Republic of Notrh Macedonia State Statistical Office,https://www.stat.gov.mk/PrikaziSoopstenie.aspx?rbrtxt=69,엑셀파일 sheet T-03,
유럽,세르비아,Republic of Srpska Institue of Statistics,http://www.rzs.rs.ba/front/category/18/154/?page=1,우측상단 English 전환 > 엑셀파일 sheet Tabela2,
아프리카,남아프리카공화국,South African Tourism ,https://www.southafrica.net/gl/en/corporate/category/strategic-research-and-reports,,
아프리카,모리셔스,Statistics Mauritius  ,https://statsmauritius.govmu.org/Pages/Statistics/Monthly/Monthly-Tourists.aspx,오류(2021.1.6 기준),
아프리카,스와질랜드,Eswatini Tourism office,http://www.thekingdomofeswatini.com/sta-resources/research,,
아프리카,세이쉘,National Bureau of Statistics,https://www.nbs.gov.sc/statistics/tourism,visitor arrivals data series ,
아프리카,짐바브웨,Zimbabwe A World Of Wonders,https://zimbabwetourism.net/statistics_dashboard/,,
아프리카,우간다,"MINISTRY OF TOURISM, WILDLIFE AND ANTIQUITES THE REPUBLIC OF UGANDA",https://www.tourism.go.ug/statistics1,,
아메리카,미국,ITA National Travel & Tourism Office,https://www.trade.gov/i-94-arrivals-program,,
아메리카,캐나다,Statistics Canada,https://www150.statcan.gc.ca/n1/pub/71-607-x/71-607-x2023020-eng.htm,,
아메리카,브라질,Governo do  Brasil,http://www.dadosefatos.turismo.gov.br/2016-02-04-11-53-05.html,,
아메리카,도미니카 공화국,Banco Central de la Republica Dominicana,https://www.bancentral.gov.do/a/d/2537-sector-turismo,"우측상단 English 전환 > Economic statistics > tourism sector-monthly tourists arrival by air, according to nationality ",
아메리카,자메이카,Jamaica Tourist Board,http://www.jtbonline.org/report-and-statistics/monthly-statistics,,
아메리카,코스타리카,INSTITUTO CONSTARRICENSE DE TURISMO(ICT),https://www.ict.go.cr/en/statistics/statistical-reports.html,,
아메리카,멕시코,Secretaria De Turismo,http://www.datatur.sectur.gob.mx/SitePages/Visitantes%20por%20Nacionalidad.aspx,,
