기준연월,성별,연령별,목적별,교통수단별,인원수
2023-08-31,남성,20세 이하,공용,기타공항,38
2023-08-31,남성,20세 이하,공용,기타항구,0
2023-08-31,남성,20세 이하,공용,김포,10
2023-08-31,남성,20세 이하,공용,김해,22
2023-08-31,남성,20세 이하,공용,부산,1
2023-08-31,남성,20세 이하,공용,인천공항,445
2023-08-31,남성,20세 이하,관광,기타공항,1049
2023-08-31,남성,20세 이하,관광,기타항구,891
2023-08-31,남성,20세 이하,관광,김포,4648
2023-08-31,남성,20세 이하,관광,김해,5018
2023-08-31,남성,20세 이하,관광,부산,1809
2023-08-31,남성,20세 이하,관광,인천,51
2023-08-31,남성,20세 이하,관광,인천공항,43449
2023-08-31,남성,20세 이하,관광,제주공항,5878
2023-08-31,남성,20세 이하,관광,제주항,7
2023-08-31,남성,20세 이하,기타,기타공항,8
2023-08-31,남성,20세 이하,기타,기타항구,36
2023-08-31,남성,20세 이하,기타,김포,143
2023-08-31,남성,20세 이하,기타,김해,177
2023-08-31,남성,20세 이하,기타,부산,5
2023-08-31,남성,20세 이하,기타,인천공항,2973
2023-08-31,남성,20세 이하,기타,제주공항,28
2023-08-31,남성,20세 이하,상용,김해,1
2023-08-31,남성,20세 이하,상용,인천공항,29
2023-08-31,남성,20세 이하,유학연수,기타공항,62
2023-08-31,남성,20세 이하,유학연수,기타항구,4
2023-08-31,남성,20세 이하,유학연수,김포,160
2023-08-31,남성,20세 이하,유학연수,김해,392
2023-08-31,남성,20세 이하,유학연수,부산,6
2023-08-31,남성,20세 이하,유학연수,인천,4
2023-08-31,남성,20세 이하,유학연수,인천공항,4109
2023-08-31,남성,20세 이하,유학연수,제주공항,20
2023-08-31,남성,21~30세,공용,기타공항,5
2023-08-31,남성,21~30세,공용,기타항구,0
2023-08-31,남성,21~30세,공용,김포,3
2023-08-31,남성,21~30세,공용,김해,6
2023-08-31,남성,21~30세,공용,부산,2
2023-08-31,남성,21~30세,공용,인천공항,176
2023-08-31,남성,21~30세,공용,제주공항,1
2023-08-31,남성,21~30세,관광,기타공항,537
2023-08-31,남성,21~30세,관광,기타항구,220
2023-08-31,남성,21~30세,관광,김포,4432
2023-08-31,남성,21~30세,관광,김해,4417
2023-08-31,남성,21~30세,관광,부산,959
2023-08-31,남성,21~30세,관광,인천,38
2023-08-31,남성,21~30세,관광,인천공항,46073
2023-08-31,남성,21~30세,관광,제주공항,4971
2023-08-31,남성,21~30세,관광,제주항,8
2023-08-31,남성,21~30세,기타,기타공항,86
2023-08-31,남성,21~30세,기타,기타항구,49
2023-08-31,남성,21~30세,기타,김포,275
2023-08-31,남성,21~30세,기타,김해,870
2023-08-31,남성,21~30세,기타,부산,11
2023-08-31,남성,21~30세,기타,인천,1
2023-08-31,남성,21~30세,기타,인천공항,13568
2023-08-31,남성,21~30세,기타,제주공항,78
2023-08-31,남성,21~30세,상용,기타공항,10
2023-08-31,남성,21~30세,상용,기타항구,3
2023-08-31,남성,21~30세,상용,김포,47
2023-08-31,남성,21~30세,상용,김해,50
2023-08-31,남성,21~30세,상용,부산,1
2023-08-31,남성,21~30세,상용,인천공항,1076
2023-08-31,남성,21~30세,유학연수,기타공항,265
2023-08-31,남성,21~30세,유학연수,기타항구,2
2023-08-31,남성,21~30세,유학연수,김포,788
2023-08-31,남성,21~30세,유학연수,김해,1072
2023-08-31,남성,21~30세,유학연수,부산,17
2023-08-31,남성,21~30세,유학연수,인천,13
2023-08-31,남성,21~30세,유학연수,인천공항,16422
2023-08-31,남성,21~30세,유학연수,제주공항,92
2023-08-31,남성,31~40세,공용,기타공항,14
2023-08-31,남성,31~40세,공용,기타항구,1
2023-08-31,남성,31~40세,공용,김포,27
2023-08-31,남성,31~40세,공용,김해,31
2023-08-31,남성,31~40세,공용,인천공항,491
2023-08-31,남성,31~40세,관광,기타공항,567
2023-08-31,남성,31~40세,관광,기타항구,440
2023-08-31,남성,31~40세,관광,김포,5654
2023-08-31,남성,31~40세,관광,김해,4850
2023-08-31,남성,31~40세,관광,부산,802
2023-08-31,남성,31~40세,관광,인천,148
2023-08-31,남성,31~40세,관광,인천공항,45097
2023-08-31,남성,31~40세,관광,제주공항,5460
2023-08-31,남성,31~40세,관광,제주항,5
2023-08-31,남성,31~40세,기타,기타공항,129
2023-08-31,남성,31~40세,기타,기타항구,119
2023-08-31,남성,31~40세,기타,김포,534
2023-08-31,남성,31~40세,기타,김해,1625
2023-08-31,남성,31~40세,기타,부산,16
2023-08-31,남성,31~40세,기타,인천,4
2023-08-31,남성,31~40세,기타,인천공항,16059
2023-08-31,남성,31~40세,기타,제주공항,130
2023-08-31,남성,31~40세,상용,기타공항,32
2023-08-31,남성,31~40세,상용,기타항구,4
2023-08-31,남성,31~40세,상용,김포,233
2023-08-31,남성,31~40세,상용,김해,192
2023-08-31,남성,31~40세,상용,부산,9
2023-08-31,남성,31~40세,상용,인천,1
2023-08-31,남성,31~40세,상용,인천공항,2436
2023-08-31,남성,31~40세,상용,제주공항,27
2023-08-31,남성,31~40세,유학연수,기타공항,28
2023-08-31,남성,31~40세,유학연수,김포,50
2023-08-31,남성,31~40세,유학연수,김해,137
2023-08-31,남성,31~40세,유학연수,부산,5
2023-08-31,남성,31~40세,유학연수,인천,5
2023-08-31,남성,31~40세,유학연수,인천공항,1620
2023-08-31,남성,31~40세,유학연수,제주공항,12
2023-08-31,남성,41~50세,공용,기타공항,13
2023-08-31,남성,41~50세,공용,기타항구,0
2023-08-31,남성,41~50세,공용,김포,37
